institutionCode,datasetName,individualCount,year processed,month processed,class processed,order processed,family processed,genus processed,vernacularName processed,scientificName processed
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2003,9,Gastropoda,Neogastropoda,Muricidae,Nucella,Dog Whelk,Nucella lapillus
Natural Resources Wales,,,1998,5,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Common Periwinkle,Littorina littorea
SEWBReC,SEWBReC Molluscs (South Wales),,1991,5,Gastropoda,Hygrophila,Physidae,Physa,Common Bladder Snail,Physa fontinalis
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Hygrophila,Lymnaeidae,Galba,Dwarf Pond Snail,Galba (Galba) truncatula
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Patulidae,Discus,Rounded Snail,Discus (Gonyodiscus) rotundatus
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,100-999,1996,6,Gastropoda,Littorinimorpha,Hydrobiidae,,Mud-snails,Hydrobiidae
,Capturing our Coast (CoCoast) marine citizen science project - data verified via iRecord,2,2016,7,Gastropoda,Neogastropoda,Muricidae,Nucella,Dog Whelk,Nucella lapillus
NRW,Welsh Invertebrate Database (WID),,1998,8,Gastropoda,Hygrophila,Lymnaeidae,Lymnaea,Great Pond Snail,Lymnaea stagnalis
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Oxychilidae,Oxychilus,Garlic Snail,Oxychilus (Oxychilus) alliarius
Seasearch,Seasearch Marine Surveys in Wales,,2016,8,Gastropoda,Nudibranchia,Facelinidae,Facelina,,Facelina annulicornis
Natural Resources Wales,,R,1982,4,Bivalvia,Veneroida,Tellinidae,Limecola,Baltic Tellin,Limecola balthica
SEWBReC,SEWBReC Molluscs (South Wales),,2007,4,Bivalvia,Veneroida,Sphaeriidae,Sphaerium,Horny Orb Mussel,Sphaerium corneum
Natural Resources Wales,,1,2005,4,Bivalvia,Nuculida,Nuculidae,Nucula,,Nucula nitidosa
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2005,9,Gastropoda,,Patellidae,Patella,Common Limpet,Patella vulgata
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1995,9,Gastropoda,Hygrophila,Lymnaeidae,,Pond snails,Lymnaeidae
Natural Resources Wales,,P,1993,5,Gastropoda,Littorinimorpha,Rissoidae,Rissoa,,Rissoa parva
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1995,10,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1984,7,Gastropoda,Pulmonata,Limacidae,Limax,Ash-black Slug,Limax cinereoniger
Seasearch,Seasearch Marine Surveys in Wales,,2018,7,Gastropoda,Neogastropoda,Nassariidae,Tritia,Netted Dog Whelk,Tritia nitida / reticulata
SEWBReC,SEWBReC Molluscs (South Wales),,2001,7,Bivalvia,Veneroida,Cardiidae,Cerastoderma,Common Cockle,Cerastoderma edule
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,4,2003,9,Bivalvia,Veneroida,Sphaeriidae,,Pea & orb mussels,Sphaeriidae
Natural Resources Wales,,P,2005,5,Gastropoda,,Patellidae,Patella,Common Limpet,Patella vulgata
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1972,4,Gastropoda,Pulmonata,Limacidae,Lehmannia,Tree Slug,Lehmannia marginata
Natural Resources Wales,,,1986,7,Gastropoda,Pulmonata,Clausiliidae,Clausilia,Two-toothed Door Snail,Clausilia (Clausilia) bidentata
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,Oct-99,1997,8,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
Natural Resources Wales,,F,1998,7,Gastropoda,Neogastropoda,Buccinidae,Buccinum,Common whelk,Buccinum undatum
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (rare and scarce species),,1989,4,Gastropoda,Pulmonata,Enidae,Merdigera,Lesser Bulin,Merdigera obscura
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2006,3,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Rough Periwinkle,Littorina saxatilis/arcana
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Oxychilidae,Oxychilus,Draparnaud's Glass Snail,Oxychilus (Oxychilus) draparnaudi
SEWBReC,SEWBReC Molluscs (South Wales),,2014,8,Gastropoda,Pulmonata,Limacidae,Malacolimax,Slender Slug,Malacolimax tenellus
SEWBReC,SEWBReC Molluscs (South Wales),,2004,7,Polyplacophora,Chitonida,Acanthochitonidae,Acanthochitona,,Acanthochitona crinita
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1,2017,9,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2005,5,Gastropoda,,Patellidae,Patella,Blue rayed limpet,Patella pellucida
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2003,4,Bivalvia,Pectinoida,Anomiidae,Heteranomia,,Heteranomia squamula
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1998,2,Gastropoda,Pulmonata,Cochlicopidae,Cochlicopa,Slippery Moss Snail,Cochlicopa cf. lubrica
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2015,9,Bivalvia,Veneroida,Veneridae,Callista,Brown Venus,Callista chione
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,4,2007,9,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1994,5,Gastropoda,Hygrophila,Lymnaeidae,,Pond snails,Lymnaeidae
Natural Resources Wales,,R,1978,9,Gastropoda,Littorinimorpha,Triviidae,Trivia,Arctic Cowrie,Trivia arctica
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,Oct-99,1986,5,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1990,10,Gastropoda,Hygrophila,Planorbidae,,Indet. Ramshorn,Planorbidae
Marine Biological Association,,1,1999,5,Polyplacophora,Lepidopleurida,Leptochitonidae,Leptochiton,,Leptochiton cancellatus
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,6,2018,9,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
SEWBReC,NRW Regional Data : South East Wales Non-Sensitive Species Records,,1977,5,Gastropoda,Hygrophila,Lymnaeidae,Lymnaea,Great Pond Snail,Lymnaea stagnalis
NRW,Welsh Invertebrate Database (WID),,1992,7,Gastropoda,Pulmonata,Arionidae,Arion,Large Black Slug,Arion (Arion) ater
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1992,7,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1,2012,11,Gastropoda,Hygrophila,Lymnaeidae,Radix,Wandering Snail,Radix balthica
NRW,Welsh Invertebrate Database (WID),,1989,8,Gastropoda,Pulmonata,Patulidae,Discus,Rounded Snail,Discus (Gonyodiscus) rotundatus
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1992,7,Gastropoda,Hygrophila,Lymnaeidae,,Pond snails,Lymnaeidae
Natural Resources Wales,,1,2001,7,Bivalvia,Carditoida,Astartidae,Goodallia,,Goodallia triangularis
Natural Resources Wales,,5,2009,4,Bivalvia,Veneroida,Tellinidae,Tellina,Bean-Like Tellin,Tellina fabula
Natural Resources Wales,,R,2012,6,Gastropoda,Littorinimorpha,Triviidae,Trivia,,Trivia
Natural Resources Wales,,,1985,8,Gastropoda,Pulmonata,Euconulidae,Euconulus,Tawny Glass Snail,Euconulus (Euconulus) cf. fulvus
Natural Resources Wales,,1,2005,8,Solenogastres,Neomeniamorpha,Neomeniidae,Neomenia,,Neomenia carinata
Joint Nature Conservation Committee,,R,1982,6,Gastropoda,,Trochidae,Gibbula,Grey Top Shell,Steromphala cineraria
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,4,2003,9,Gastropoda,Hygrophila,Lymnaeidae,,Pond snails,Lymnaeidae
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,2004,8,Gastropoda,Pulmonata,Helicidae,Cornu,Common Garden Snail,Cornu aspersum
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,6,2012,9,Gastropoda,Littorinimorpha,Hydrobiidae,,Mud-snails,Hydrobiidae
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,8,2013,9,Bivalvia,Veneroida,Sphaeriidae,Pisidium,Indet. Pea Mussel,Pisidium
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1,1993,6,Bivalvia,Veneroida,Sphaeriidae,,Pea & orb mussels,Sphaeriidae
Natural Resources Wales,,P,1987,7,Gastropoda,Nudibranchia,Proctonotidae,Janolus,,Janolus cristatus
SEWBReC,Dr Mary Gillham Archive Project,,1977,2,Gastropoda,Neogastropoda,Muricidae,Nucella,Dog Whelk,Nucella lapillus
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,2010,7,Gastropoda,Pulmonata,Trigonochlamydidae,Selenochlamys,Ghost Slug,Selenochlamys ysbryda
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,Oct-99,2000,3,Gastropoda,Littorinimorpha,Hydrobiidae,,Mud-snails,Hydrobiidae
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Arionidae,Arion,,Arion (Carinarion) agg.
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,70,2006,11,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1994,4,Gastropoda,Littorinimorpha,Aporrhaidae,Aporrhais,Common Pelican's Foot,Aporrhais pespelecani
Seasearch,Seasearch Marine Surveys in Wales,,2013,6,Gastropoda,Littorinimorpha,Triviidae,Trivia,Spotted Cowrie,Trivia monacha
Joint Nature Conservation Committee,,O,1985,7,Gastropoda,,Trochidae,Gibbula,Grey Top Shell,Steromphala cineraria
Cofnod,NRW Regional Data: North Wales,,1994,7,Gastropoda,Pulmonata,Oxychilidae,Oxychilus,Cellar Snail,Oxychilus (Oxychilus) cellarius
NRW,Welsh Invertebrate Database (WID),,1998,8,Gastropoda,Pulmonata,Helicidae,Theba,White Snail,Theba pisana
SEWBReC,NRW Regional Data : South East Wales Non-Sensitive Species Records,,2000,9,Gastropoda,,Trochidae,Gibbula,Flat Top Shell,Steromphala umbilicalis
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,8,2012,3,Gastropoda,Hygrophila,Physidae,Physa,Common Bladder Snail,Physa fontinalis
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Patulidae,Discus,Rounded Snail,Discus (Gonyodiscus) rotundatus
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Hygromiidae,Trochulus,Hairy Snail,Trochulus (Trochulus) hispidus
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,5,2000,3,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1,2000,3,Bivalvia,Veneroida,Sphaeriidae,,Pea & orb mussels,Sphaeriidae
SEWBReC,NRW Regional Data : South East Wales Non-Sensitive Species Records,,2003,9,Gastropoda,Neogastropoda,Muricidae,Nucella,Dog Whelk,Nucella lapillus
BIS,Miscellaneous records held by BIS,,2011,8,Gastropoda,Pulmonata,Oxychilidae,Oxychilus,Garlic Snail,Oxychilus (Oxychilus) alliarius
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1980,6,Gastropoda,Pulmonata,Boettgerillidae,Boettgerilla,Worm Slug,Boettgerilla pallens
,Capturing our Coast (CoCoast) marine citizen science project - data verified via iRecord,5,2017,8,Gastropoda,,Trochidae,Gibbula,Flat Top Shell,Steromphala umbilicalis
Seasearch,Seasearch Marine Surveys in Wales,,2009,7,Gastropoda,Nudibranchia,Tritoniidae,Tritonia,,Tritonia lineata
Natural Resources Wales,,14,2002,8,Bivalvia,Veneroida,Semelidae,,,Semelidae
Natural Resources Wales,,1,2000,7,Gastropoda,Cephalaspidea,Cylichnidae,Cylichna,,Cylichna cylindracea
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1991,7,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
,Capturing our Coast (CoCoast) marine citizen science project - data verified via iRecord,1,2018,7,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Rough Periwinkle,Littorina saxatilis/arcana
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,4,2010,9,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1993,12,Gastropoda,,Patellidae,Patella,Common Limpet,Patella vulgata
Joint Nature Conservation Committee,,,2003,7,Bivalvia,[unassigned] Euheterodonta,Pharidae,Phaxas,,Phaxas pellucidus
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,2,2006,8,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1,2010,3,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1995,9,Gastropoda,Littorinimorpha,Hydrobiidae,,Mud-snails,Hydrobiidae
Natural England,,10,2007,7,Bivalvia,Pectinoida,Anomiidae,,,Anomiidae
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1992,7,Bivalvia,Veneroida,Veneridae,Venerupis,Pullet Carpet Shell,Venerupis corrugata
Natural Resources Wales,,1,2007,3,Gastropoda,Neogastropoda,Buccinidae,,,Buccinidae
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1,2000,5,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
NRW,Welsh Invertebrate Database (WID),,1997,8,Gastropoda,Pulmonata,Hygromiidae,Ashfordia,Silky Snail,Ashfordia granulata
Natural Resources Wales,,8,2007,9,Bivalvia,Pectinoida,,,,Anomioidea
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1991,7,Gastropoda,Neogastropoda,Muricidae,Trophonopsis,,Trophonopsis barvicensis
Seasearch,Seasearch Marine Surveys in Wales,,2006,6,Gastropoda,Nudibranchia,Polyceridae,Polycera,,Polycera faeroensis
NRW,Welsh Invertebrate Database (WID),,2012,6,Gastropoda,Hygrophila,Planorbidae,Anisus,Whirlpool Ramshorn,Anisus (Disculifer) vortex
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Vertiginidae,Columella,,Columella agg.
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,2014,9,Gastropoda,Pulmonata,Oxychilidae,Oxychilus,Glossy Glass Snail,Oxychilus (Oxychilus) navarricus subsp. helveticus
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1987,,Gastropoda,Pulmonata,Oxychilidae,Aegopinella,Clear Glass Snail,Aegopinella pura
,,C,2002,9,Bivalvia,Ostreoida,Ostreidae,Ostrea,Common Oyster,Ostrea edulis
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Clausiliidae,Balea,Tree Snail,Balea (Balea) perversa
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1997,5,Gastropoda,Neogastropoda,Muricidae,Nucella,Dog Whelk,Nucella lapillus
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1995,4,Gastropoda,Littorinimorpha,Hydrobiidae,,Mud-snails,Hydrobiidae
Natural Resources Wales,,1,2005,7,Bivalvia,[unassigned] Euheterodonta,Pharidae,Phaxas,,Phaxas pellucidus
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,6,2004,9,Gastropoda,Cycloneritimorpha,Neritidae,Theodoxus,Freshwater Nerite,Theodoxus fluviatilis
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,2,2000,9,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Vitrinidae,Vitrina,Winter Semi-slug,Vitrina pellucida
,Capturing our Coast (CoCoast) marine citizen science project - data verified via iRecord,9,2017,3,Gastropoda,,Trochidae,Gibbula,Flat Top Shell,Steromphala umbilicalis
SEWBReC,SEWBReC Molluscs (South Wales),,2000,6,Gastropoda,,Patellidae,Patella,,Patella
SEWBReC,SEWBReC Molluscs (South Wales),,2018,9,Gastropoda,Pulmonata,Hygromiidae,Hygromia,Girdled Snail,Hygromia (Hygromia) cinctella
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Vertiginidae,Columella,,Columella agg.
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1996,8,Gastropoda,Pulmonata,Patulidae,Discus,Rounded Snail,Discus (Gonyodiscus) rotundatus
Cofnod,NRW Regional Data: North Wales,,2001,,Bivalvia,Veneroida,Tellinidae,Limecola,Baltic Tellin,Limecola balthica
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,6,2010,10,Gastropoda,Hygrophila,Lymnaeidae,Radix,Wandering Snail,Radix balthica
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1,2002,9,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1917,6,Gastropoda,Pulmonata,Arionidae,Arion,,Arion (Carinarion)
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Hygromiidae,Zenobiella,Brown Snail,Zenobiella subrufescens
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1978,7,Bivalvia,Veneroida,Psammobiidae,Gari,Faroe Sunset Shell,Gari fervensis
SEWBReC,SEWBReC Molluscs (South Wales),,2007,4,Gastropoda,Hygrophila,Lymnaeidae,Radix,Wandering Snail,Radix balthica
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1971,5,Gastropoda,Pulmonata,Vitrinidae,Vitrina,Winter Semi-slug,Vitrina pellucida
NRW,Welsh Invertebrate Database (WID),3,2006,10,Gastropoda,Pulmonata,Vertiginidae,Columella,,Columella aspera
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2008,4,Bivalvia,Pectinoida,Pectinidae,Talochlamys,Humpback Scallop,Talochlamys pusio
Porcupine Marine Natural History Society,Marine flora and fauna records from the North-east Atlantic,,2002,9,Gastropoda,Cephalaspidea,Philinidae,Philine,Lobe Shell,Philine aperta
SEWBReC,NRW Regional Data : South East Wales Non-Sensitive Species Records,,2000,9,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Common Periwinkle,Littorina littorea
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1996,6,Gastropoda,Pulmonata,Patulidae,Discus,Rounded Snail,Discus (Gonyodiscus) rotundatus
NRW,Welsh Invertebrate Database (WID),,2016,10,Gastropoda,Pulmonata,Vertiginidae,Vertigo,Desmoulin's Whorl Snail,Vertigo (Vertigo) moulinsiana
,Capturing our Coast (CoCoast) marine citizen science project - data verified via iRecord,3,2016,8,Gastropoda,,Patellidae,Patella,Common Limpet,Patella vulgata
SEWBReC,SEWBReC Molluscs (South Wales),,2003,9,Bivalvia,Mytiloida,Mytilidae,Mytilus,Blue Mussel,Mytilus edulis
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1,2003,9,Gastropoda,Hygrophila,Lymnaeidae,,Pond snails,Lymnaeidae
BIS,Miscellaneous records held by BIS,,1974,3,Gastropoda,Pulmonata,Carychiidae,Carychium,Long-toothed Herald Snail,Carychium tridentatum
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2015,9,Bivalvia,[unassigned] Euheterodonta,Pharidae,Ensis,Pod Razor Shell,Ensis siliqua
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,2002,9,Gastropoda,Hygrophila,Planorbidae,Gyraulus,White Ramshorn,Gyraulus (Gyraulus) albus
Seasearch,Seasearch Marine Surveys in Wales,,2013,9,Gastropoda,Nudibranchia,Flabellinidae,Edmundsella,,Edmundsella pedata
Joint Nature Conservation Committee,,F,1983,8,Bivalvia,Mytiloida,Mytilidae,Mytilus,Blue Mussel,Mytilus edulis
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,2011,9,Gastropoda,Architaenioglossa,Aciculidae,Acicula,Point Snail,Acicula fusca
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2004,4,Gastropoda,,Patellidae,Patella,China Limpet,Patella ulyssiponensis
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,Oct-99,2000,9,Gastropoda,Hygrophila,Lymnaeidae,,Pond snails,Lymnaeidae
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,100-999,1990,10,Gastropoda,Littorinimorpha,Hydrobiidae,,Mud-snails,Hydrobiidae
Natural Resources Wales,,P,2014,4,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Common Periwinkle,Littorina littorea
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1991,8,Bivalvia,Veneroida,Veneridae,Gouldia,,Gouldia minima
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1995,9,Gastropoda,Littorinimorpha,Hydrobiidae,,Mud-snails,Hydrobiidae
Joint Nature Conservation Committee,,O,1994,9,Gastropoda,Nudibranchia,Tritoniidae,Tritonia,,Tritonia hombergii
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,35,2001,11,Bivalvia,Veneroida,Sphaeriidae,,Pea & orb mussels,Sphaeriidae
Seasearch,Seasearch Marine Surveys in Wales,,2015,8,Gastropoda,,Calliostomatidae,Calliostoma,Painted top shell,Calliostoma zizyphinum
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1989,7,Bivalvia,[unassigned] Euheterodonta,Pharidae,Ensis,Common Razor Shell,Ensis ensis
Natural Resources Wales,,11,2004,9,Bivalvia,Veneroida,Veneridae,Timoclea,Oval Venus,Timoclea ovata
NRW,Welsh Invertebrate Database (WID),,1997,,Gastropoda,Pulmonata,Limacidae,Lehmannia,Tree Slug,Lehmannia marginata
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Patulidae,Discus,Rounded Snail,Discus (Gonyodiscus) rotundatus
Cofnod,Miscellaneous records held on the Cofnod database,,2014,10,Bivalvia,Pectinoida,Pectinidae,Aequipecten,Queen scallop,Aequipecten opercularis
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Hygromiidae,Trochulus,Hairy Snail,Trochulus (Trochulus) hispidus
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1993,4,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
Cofnod,Miscellaneous records held on the Cofnod database,,2008,2,Gastropoda,Hygrophila,Planorbidae,Anisus,White-lipped Ramshorn,Anisus (Anisus) leucostoma
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Hygromiidae,Trochulus,Strawberry Snail,Trochulus (Trochulus) striolatus
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,3,2008,10,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,2,2002,4,Bivalvia,Veneroida,Sphaeriidae,,Pea & orb mussels,Sphaeriidae
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1987,,Gastropoda,Littorinimorpha,Bithyniidae,Bithynia,Common Bithynia,Bithynia tentaculata
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1997,7,Bivalvia,[unassigned] Euheterodonta,Hiatellidae,Hiatella,Wrinkled Rock Borer,Hiatella arctica
WWBIC,WWBIC Online Import,,2017,10,Gastropoda,Neogastropoda,Muricidae,Nucella,Dog Whelk,Nucella lapillus
,Capturing our Coast (CoCoast) marine citizen science project - data verified via iRecord,3,2017,8,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Common Periwinkle,Littorina littorea
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1909,,Gastropoda,Pulmonata,Enidae,Merdigera,Lesser Bulin,Merdigera obscura
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1991,9,Gastropoda,Hygrophila,Lymnaeidae,,Pond snails,Lymnaeidae
NRW,Welsh Invertebrate Database (WID),,1974,9,Gastropoda,Pulmonata,Oxychilidae,Oxychilus,Garlic Snail,Oxychilus (Oxychilus) alliarius
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1,2007,6,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1880,,Gastropoda,Pulmonata,,Arianta,Copse Snail,Arianta arbustorum
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,7,2006,11,Gastropoda,Hygrophila,Lymnaeidae,,Pond snails,Lymnaeidae
,Capturing our Coast (CoCoast) marine citizen science project - data verified via iRecord,1,2016,5,Gastropoda,,Trochidae,Gibbula,Flat Top Shell,Steromphala umbilicalis
BIS,Miscellaneous records held by BIS,,1998,3,Gastropoda,Pulmonata,Succineidae,Succinea,Large Amber Snail,Succinea putris
