institutionCode,datasetName,individualCount,year processed,month processed,class processed,order processed,family processed,genus processed,vernacularName processed,scientificName processed
SEWBReC,SEWBReC Molluscs (South Wales),,2007,4,Bivalvia,Veneroida,Sphaeriidae,Pisidium,Indet. Pea Mussel,Pisidium
Natural Resources Wales,,1,1998,6,Bivalvia,[unassigned] Euheterodonta,Pharidae,Phaxas,,Phaxas pellucidus
SEWBReC,NRW Regional Data : South East Wales Non-Sensitive Species Records,,2000,6,Bivalvia,Veneroida,Donacidae,Donax,Banded wedge-shell,Donax vittatus
NRW,Welsh Invertebrate Database (WID),7,1985,5,Gastropoda,,Valvatidae,Valvata,Flat Valve Snail,Valvata cristata
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1,2014,3,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,3,2000,4,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,2017,5,Gastropoda,Pulmonata,Helicidae,Cornu,Common Garden Snail,Cornu aspersum
Seasearch,Seasearch Marine Surveys in Wales,,2011,6,Bivalvia,Pectinoida,Pectinidae,Pecten,Great Scallop,Pecten maximus
Joint Nature Conservation Committee,,R,1983,8,Gastropoda,,Patellidae,Patella,Blue rayed limpet,Patella pellucida
Natural Resources Wales,,6,2003,10,Bivalvia,Veneroida,Veneridae,Polititapes,Banded Carpet Shell,Polititapes rhomboides
Cofnod,Miscellaneous records held on the Cofnod database,,2016,7,Gastropoda,Neogastropoda,Muricidae,Ocenebra,Oyster Drill,Ocenebra erinaceus
Natural Resources Wales,,R,1996,10,Bivalvia,Veneroida,Veneridae,Gouldia,,Gouldia minima
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,140,2007,11,Gastropoda,Littorinimorpha,Hydrobiidae,,Mud-snails,Hydrobiidae
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,2017,11,Gastropoda,Pulmonata,Arionidae,Arion,Blue-black Soil Slug,Arion (Kobeltia) hortensis
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,Oct-99,1990,7,Gastropoda,Hygrophila,Lymnaeidae,,Pond snails,Lymnaeidae
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1991,8,Bivalvia,Veneroida,Lasaeidae,Hemilepton,,Hemilepton nitidum
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Hygromiidae,Cernuella,Striped Snail,Cernuella (Cernuella) virgata
SEWBReC,SEWBReC Molluscs (South Wales),,2016,8,Gastropoda,Pulmonata,Helicidae,Cepaea,Brown-lipped Snail,Cepaea (Cepaea) nemoralis
SEWBReC,Dr Mary Gillham Archive Project,,1976,5,Gastropoda,Pulmonata,Helicidae,Cornu,Common Garden Snail,Cornu aspersum
NRW,Welsh Invertebrate Database (WID),,2000,6,Gastropoda,Hygrophila,Planorbidae,Gyraulus,White Ramshorn,Gyraulus (Gyraulus) albus
Marine Biological Association,,324,1995,11,Bivalvia,Pectinoida,Pectinidae,Aequipecten,,Aequipecten
,,O,2012,6,Bivalvia,Pectinoida,Pectinidae,Pecten,Great Scallop,Pecten maximus
West Wales Biodiversity Information Centre,,,1980,,Gastropoda,Pulmonata,Vertiginidae,Columella,Toothless Chrysalis Snail,Columella edentula
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,2018,11,Gastropoda,Pulmonata,Oxychilidae,Aegopinella,Smooth Glass Snail,Aegopinella nitidula
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2002,9,Bivalvia,Veneroida,Lasaeidae,Lasaea,,Lasaea adansoni
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1990,8,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
Natural Resources Wales,,O,2003,7,Gastropoda,Nudibranchia,Onchidorididae,Diaphorodoris,,Diaphorodoris luteocincta
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1969,5,Gastropoda,Architaenioglossa,Aciculidae,Acicula,Point Snail,Acicula fusca
Seasearch,Seasearch Marine Surveys in Wales,,2003,8,Gastropoda,Neogastropoda,Nassariidae,Tritia,Thick-lipped Dog Whelk,Tritia incrassata
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,Oct-99,1990,7,Gastropoda,Littorinimorpha,Hydrobiidae,,Mud-snails,Hydrobiidae
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1994,7,Bivalvia,Veneroida,Cardiidae,Acanthocardia,Prickly Cockle,Acanthocardia echinata
SEWBReC,SEWBReC Molluscs (South Wales),,2012,6,Gastropoda,Pulmonata,Helicidae,Cepaea,Brown-lipped Snail,Cepaea (Cepaea) nemoralis
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1000-9999,1991,10,Gastropoda,Littorinimorpha,Hydrobiidae,,Mud-snails,Hydrobiidae
NRW,Welsh Invertebrate Database (WID),,1991,1,Gastropoda,Pulmonata,Vertiginidae,Vertigo,Mountain Whorl Snail,Vertigo (Vertigo) alpestris
Natural Resources Wales,,20,2007,8,Bivalvia,Mytiloida,Mytilidae,Mytilus,Blue Mussel,Mytilus edulis
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1968,4,Gastropoda,Pulmonata,Enidae,Merdigera,Lesser Bulin,Merdigera obscura
Natural Resources Wales,,8,2008,4,Bivalvia,Nuculida,Nuculidae,Nucula,,Nucula
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2016,9,Gastropoda,Nudibranchia,Aeolidiidae,Aeolidiella,,Aeolidiella alderi
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,23,2011,9,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,100-999,1994,5,Gastropoda,Littorinimorpha,Hydrobiidae,,Mud-snails,Hydrobiidae
