Name,Lab,Range,Country,Local authority,Material,Technique,Description of site,Reservations,Certificate
Bryn Gwyn stone circle,SUERC-39680,2030BC - 1770BC,Wales,Isle of Anglesey,Charcoal (hazel),AMS,16m diameter stone circle.,[None recorded],N
Bryn yr Hen Bobl,OxA-12742,3340BC - 2920BC,Wales,Isle of Anglesey,Bone (human),AMS,Kidney-shaped Neolithic tomb overlying an earlier occupation site.,[None recorded],N
"Caergeiliog, site DA5a",Wk-9554,2140BC - 1760BC,Wales,Isle of Anglesey,"Charcoal (birch, oak (sapwood), alder / hazel, hazel, alder)",[Not recorded],Burnt mound covering two pits.,[None recorded],N
"Caergeiliog, site DA5b",Wk-9553,1120BC - 520BC,Wales,Isle of Anglesey,"Charcoal (birch, oak (sapwood), hazel, alder, willow / poplar, hazel / alder)",[Not recorded],Burnt mound with two phases of use covering two intercutting pits.,[None recorded],N
"Caergeiliog, site DA5c",Wk-9555,1890BC - 1600BC,Wales,Isle of Anglesey,"Charcoal (oak, sapwood)",[Not recorded],Shallow spread of burnt stone associated with a pit.,[None recorded],N
Capel Eithin,CAR-448,2200BC - 1760BC,Wales,Isle of Anglesey,Charcoal,Radiometric,"Neolithic domestic occupation,  Bronze Age funerary activity, a Romano-British structure and an early medieval cemetery.",[None recorded],N
Capel Eithin,CAR-449,1890BC - 1500BC,Wales,Isle of Anglesey,Charcoal,Radiometric,"Neolithic domestic occupation,  Bronze Age funerary activity, a Romano-British structure and an early medieval cemetery.",[None recorded],N
Capel Eithin,CAR-450,2190BC - 1740BC,Wales,Isle of Anglesey,Charcoal,Radiometric,"Neolithic domestic occupation,  Bronze Age funerary activity, a Romano-British structure and an early medieval cemetery.",[None recorded],N
Capel Eithin,CAR-451,2280BC - 1880BC,Wales,Isle of Anglesey,Charcoal,Radiometric,"Neolithic domestic occupation,  Bronze Age funerary activity, a Romano-British structure and an early medieval cemetery.",[None recorded],Y
Capel Eithin,CAR-452,2460BC - 1970BC,Wales,Isle of Anglesey,Charcoal,Radiometric,"Neolithic domestic occupation,  Bronze Age funerary activity, a Romano-British structure and an early medieval cemetery.",[None recorded],N
