Name,Lab,Range,Country,Local authority,Material,Technique,Description of site,Reservations,Certificate
"Cefn Gwernffrwd, site GWC",CAR-96,5900BC - 5560BC,Wales,Carmarthenshire,Peat,Radiometric,"Core taken from c. 500m southeast of a stone circle and alignment (Dresser 1985, 355).",,N
"Cefn Gwernffrwd, site GWC",CAR-97,9180BC - 8350BC,Wales,Carmarthenshire,Peat,Radiometric,Palaeoenvironmental study of peat 500m from a stone circle and alignment.,,N
"Cefn Gwernffrwd, site GWC",CAR-98,8570BC - 7950BC,Wales,Carmarthenshire,Peat,Radiometric,"Core taken from c. 500m southeast of a stone circle and alignment (Dresser 1985, 355).",,N
"Cefn Gwernffrwd, site GWC",CAR-99,9320BC - 8730BC,Wales,Carmarthenshire,Sediment (organic),Radiometric,Palaeoenvironmental study of peat 500m from a stone circle and alignment.,,N
"Church Street, Carmarthen",CAR-290,AD70 - AD420,Wales,Carmarthenshire,"Wood (oak, branch, 12 year growth)",Radiometric,Roman town defences.,,N
Cilsan (site 21.02),SUERC-54684 (GU-34685),2880BC - 2610BC,Wales,Carmarthenshire,"Charcoal (hazel, nutshell)",AMS,13 Neolithic pits and a Middle Bronze Age burnt mound.,,N
Cilsan (site 21.02),SUERC-54688 (GU-34886),2880BC - 2620BC,Wales,Carmarthenshire,"Charcoal (hazel, nutshell)",AMS,13 Neolithic pits and a Middle Bronze Age burnt mound.,,N
Cilsan (site 21.02),SUERC-54689 (GU-34687),2880BC - 2630BC,Wales,Carmarthenshire,"Charcoal (hazel, nutshell)",AMS,13 Neolithic pits and a Middle Bronze Age burnt mound.,,N
Cilsan (site 21.02),SUERC-54690 (GU-34688),2880BC - 2630BC,Wales,Carmarthenshire,"Charcoal (hazel, nutshell)",AMS,13 Neolithic pits and a Middle Bronze Age burnt mound.,,N
Cilsan (site 21.02),SUERC-55506,1220BC - 1010BC,Wales,Carmarthenshire,Charcoal (hazel),AMS,13 Neolithic pits and a Middle Bronze Age burnt mound.,,N
Cilsan (site 21.02),SUERC-55507,1260BC - 1040BC,Wales,Carmarthenshire,Charcoal (Maloideae),AMS,13 Neolithic pits and a Middle Bronze Age burnt mound.,,N
Cilsan (site 21.02),SUERC-56039 (GU-35403),3020BC - 2770BC,Wales,Carmarthenshire,Charcoal (hazel),AMS,13 Neolithic pits and a Middle Bronze Age burnt mound.,,N
Cilsan (site 21.02),SUERC-56040 (GU-35404),2910BC - 2670BC,Wales,Carmarthenshire,Charcoal (alder),AMS,13 Neolithic pits and a Middle Bronze Age burnt mound.,,N
Cilsan Mill (site 20.18),SUERC-57309,2870BC - 2570BC,Wales,Carmarthenshire,"Charcoal (hazel, nutshell)",AMS,Single isolated Neolithic pit.,,N
Cors Carmel,OxA-3828,2460BC - 2030BC,Wales,Carmarthenshire,"Wood (Ericaceae, stems)",AMS,Palaeoenvironmental study of Holocene peats.,,N
Cors Carmel,OxA-3829,3650BC - 3360BC,Wales,Carmarthenshire,Wood (birch),AMS,Palaeoenvironmental study of Holocene peats.,,N
Cors Carmel,OxA-3830,4050BC - 3770BC,Wales,Carmarthenshire,Wood (alder),AMS,Palaeoenvironmental study of Holocene peats.,,N
Cors Carmel,OxA-3831,8780BC - 8280BC,Wales,Carmarthenshire,Wood (birch),AMS,"Holocene peats (Hedges et al 1993, 307).",,N
Court Wood Enclosure,CAR-105,410BC - 200BC,Wales,Carmarthenshire,Charcoal (grain),Radiometric,Defended enclosure.,,N
Coygan Camp,NPL-132,3990BC - 3630BC,Wales,Carmarthenshire,[Not recorded],[Not recorded],Neolithic occupation site overlain by a hillfort.,,N
Coygan Cave,BM-499,,Wales,Carmarthenshire,"Bone (red deer or reindeer, antler, shed - conflict in records)",Radiometric,Cave site containing Mousterian artefacts and evidence of use as a hyaena den.,,N
Coygan Cave,GrN-4399,1390BC - 1110BC,Wales,Carmarthenshire,Calcite,[Not recorded],Cave site containing Mousterian artefacts and evidence of use as a hyaena den.,,N
Coygan Cave,GrN-4400,36510BC - 34450BC,Wales,Carmarthenshire,Calcite,[Not recorded],Cave site containing Mousterian artefacts and evidence of use as a hyaena den.,,N
Coygan Cave,GrN-4423,4840BC - 4510BC,Wales,Carmarthenshire,Calcite,[Not recorded],Cave site containing Mousterian artefacts and evidence of use as a hyaena den.,,N
Coygan Cave,OxA-14400,34590BC - 33540BC,Wales,Carmarthenshire,"Bone (Spotted hyaena, tooth, C)","AMS, ultrafiltered",Cave site containing Mousterian artefacts and evidence of use as a hyaena den.,,N
Coygan Cave,OxA-14401,,Wales,Carmarthenshire,"Bone (Spotted hyaena, tooth, C)","AMS, ultrafiltered","Cave site containing Mousterian artefacts and evidence of use as a hyaena den (Aldhouse-Green et al 1996, 37).",,N
Coygan Cave,OxA-14402,39720BC - 37620BC,Wales,Carmarthenshire,"Bone (Spotted hyaena, tooth, right I3)","AMS, ultrafiltered",Cave site containing Mousterian artefacts and evidence of use as a hyaena den.,,N
Coygan Cave,OxA-14403,45370BC - 39510BC,Wales,Carmarthenshire,"Bone (Spotted hyaena, tooth, left P2)","AMS, ultrafiltered",Cave site containing Mousterian artefacts and evidence of use as a hyaena den.,,N
Coygan Cave,OxA-14473,36280BC - 33230BC,Wales,Carmarthenshire,"Bone (Spotted hyaena, tooth, left M1)","AMS, ultrafiltered",Cave site containing Mousterian artefacts and evidence of use as a hyaena den.,,N
Coygan Cave,OxA-16647,,Wales,Carmarthenshire,"Bone (woolly rhinoceros, radius, left proximal)","AMS, ultrafiltered","Cave site containing Mousterian artefacts and evidence of use as a hyaena den (Aldhouse-Green et al 1996, 37).",,N
Coygan Cave,OxA-16766,,Wales,Carmarthenshire,"Bone (spotted hyaena, tooth, left P3)",AMS,"Cave site containing Mousterian artefacts and evidence of use as a hyaena den (Aldhouse-Green et al 1996, 37).",,N
Coygan Cave,OxA-16767,,Wales,Carmarthenshire,"Bone (spotted hyaena, tooth, left dentary)",AMS,"Cave site containing Mousterian artefacts and evidence of use as a hyaena den (Aldhouse-Green et al 1996, 37).",,N
Coygan Cave,OxA-2509,27000BC - 25760BC,Wales,Carmarthenshire,"Bone (woolly rhinoceros, radius, left proximal)","AMS, ion-exchanged gelatin",Cave site containing Mousterian artefacts and evidence of use as a hyaena den.,,N
Cwmifor (site 26.05),Beta-257726,6640BC - 6460BC,Wales,Carmarthenshire,[Not recorded],AMS,"Early Neolithic features including a possible rectangular house, as well as later prehistoric features.",,N
Cwmifor (site 26.05),Beta-257727,4040BC - 3790BC,Wales,Carmarthenshire,[Not recorded],AMS,"Early Neolithic features including a possible rectangular house, as well as later prehistoric features.",,N
Cwmifor (site 26.05),SUERC-54561 (GU-34651),3940BC - 3690BC,Wales,Carmarthenshire,Charcoal (hazel),AMS,"Early Neolithic features including a possible rectangular house, as well as later prehistoric features.",,N
Cwmifor (site 26.05),SUERC-54562 (GU-34652),3770BC - 3640BC,Wales,Carmarthenshire,Charcoal (hazel),AMS,"Early Neolithic features including a possible rectangular house, as well as later prehistoric features.",,N
Cwmifor (site 26.05),SUERC-54566 (GU-34653),3770BC - 3640BC,Wales,Carmarthenshire,Charcoal (hazel),AMS,"Early Neolithic features including a possible rectangular house, as well as later prehistoric features.",,N
Cwmifor (site 26.05),SUERC-54567 (GU-34654),1390BC - 1120BC,Wales,Carmarthenshire,Charcoal (hazel),AMS,"Early Neolithic features including a possible rectangular house, as well as later prehistoric features.",,N
Cwmifor (site 26.05),SUERC-54568 (GU-34655),1370BC - 1110BC,Wales,Carmarthenshire,Charcoal (hazel),AMS,"Early Neolithic features including a possible rectangular house, as well as later prehistoric features.",,N
Dolau Farm (site 26.02),SUERC-56041,1380BC - 1050BC,Wales,Carmarthenshire,Charcoal (alder),[Not recorded],Burnt mound containing one trough.,,N
Dolau Farm (site 26.04),Beta-222402,1620BC - 1430BC,Wales,Carmarthenshire,[Not recorded],AMS,"Western extension of a larger prehistoric settlement, and a burnt mound.",,N
Dolau Farm (site 26.04),Beta-222403,2040BC - 1770BC,Wales,Carmarthenshire,[Not recorded],AMS,"Western extension of a larger prehistoric settlement, and a burnt mound.",,N
Dolaucothi,HAR-2709,350BC - AD120,Wales,Carmarthenshire,"Wood (oak, plank)",Radiometric,Roman mining complex.,,N
Dolau-duon,GU-1327,9270BC - 8710BC,Wales,Carmarthenshire,Sediment (gyttja),[Not recorded],"Small kettle hole (15m diameter), filled with peat (Donald 1987, 64).",,N
Erglodd,Beta-189526,1630BC - 1320BC,Wales,Carmarthenshire,"Wood (oak, timber, trough)",[Not recorded],"Bronze Age trough, prehistoric / Roman lead smelting site, medieval (11th century) trackway and palaeoenvironmental sequences.",,N
Erglodd,Beta-189527,1730BC - 1420BC,Wales,Carmarthenshire,"Wood (oak, timber, trough)",[Not recorded],"Bronze Age trough, prehistoric / Roman lead smelting site, medieval (11th century) trackway and palaeoenvironmental sequences.",,N
Erglodd,Beta-191064,AD890 - AD1030,Wales,Carmarthenshire,"Wood (roundwood, stake)",[Not recorded],"Bronze Age trough, prehistoric / Roman lead smelting site, medieval (11th century) trackway and palaeoenvironmental sequences.",,N
Erglodd,Beta-191065,AD890 - AD1030,Wales,Carmarthenshire,"Wood (roundwood, 85mm diameter)",[Not recorded],"Bronze Age trough, prehistoric / Roman lead smelting site, medieval (11th century) trackway and palaeoenvironmental sequences.",,N
Erglodd,Beta-204040,AD0 - AD220,Wales,Carmarthenshire,Charcoal,[Not recorded],"Bronze Age trough, prehistoric / Roman lead smelting site, medieval (11th century) trackway and palaeoenvironmental sequences.",,N
Erglodd,Beta-204041,90BC - AD90,Wales,Carmarthenshire,Charcoal,[Not recorded],"Bronze Age trough, prehistoric / Roman lead smelting site, medieval (11th century) trackway and palaeoenvironmental sequences.",,N
Esgair Ffraith,Wk-19528,7480BC - 7050BC,Wales,Carmarthenshire,Charcoal,[Not recorded],Palaeoenvironmental study of a small upland bog with evidence of early Mesolithic burning.,,N
Esgair Ffraith,Wk-19529,8790BC - 8470BC,Wales,Carmarthenshire,Charcoal,[Not recorded],Palaeoenvironmental study of a small upland bog with evidence of early Mesolithic burning.,,N
Ffrwd y drain (site 23.02),SUERC-57304,AD1440 - AD1640,Wales,Carmarthenshire,"Charcoal (barley, grains x3)",AMS,Hearth thought to be part of a domestic site.,,N
Ffrwd y drain (site 23.02),SUERC-57305,AD1430 - AD1630,Wales,Carmarthenshire,"Charcoal (pea, seed)",AMS,Hearth thought to be part of a domestic site.,,N
Foel Fawr Cave,BM-1809,,Wales,Carmarthenshire,"Bone (aurochs, tibia)",Radiometric,"Cave deposit (Burleigh et al 1982, 270).",,N
Foel Fawr Cave,BM-1809R,4550BC - 3990BC,Wales,Carmarthenshire,"Bone (aurochs, tibia)",Radiometric,Cave containing palaeofauna.,,N
Foel Fawr Cave,BM-1810,,Wales,Carmarthenshire,"Bone (aurochs, horn core)",Radiometric,"Cave deposit (Burleigh et al 1982, 270).",,N
Foel Fawr Cave,BM-1810R,4610BC - 3950BC,Wales,Carmarthenshire,"Bone (aurochs, horn core)",Radiometric,Cave containing palaeofauna.,,N
Foel Fawr Cave,BM-1903,,Wales,Carmarthenshire,"Bone (?aurochs, long bone)",Radiometric,"Cave deposit (Burleigh et al 1982, 270).",,N
Foel Fawr Cave,BM-1903R,5030BC - 3360BC,Wales,Carmarthenshire,"Bone (?aurochs, long bone)",Radiometric,Cave containing palaeofauna.,,N
"Frondeg Terrace, Llanelli",Beta-236967,AD1400 - AD1460,Wales,Carmarthenshire,Bone (human),[Not recorded],Burial ground at presumed site of Capel Gunlet (Gwynllyw).,,N
"Frondeg Terrace, Llanelli",Beta-236968,AD1220 - AD1390,Wales,Carmarthenshire,Bone (human),[Not recorded],Burial ground at presumed site of Capel Gunlet (Gwynllyw).,,N
"Frondeg Terrace, Llanelli",Beta-236969,AD1030 - AD1260,Wales,Carmarthenshire,Bone (human),[Not recorded],Burial ground at presumed site of Capel Gunlet (Gwynllyw).,,N
"Frondeg Terrace, Llanelli",Beta-236970,AD1280 - AD1420,Wales,Carmarthenshire,Bone (human),[Not recorded],Burial ground at presumed site of Capel Gunlet (Gwynllyw).,,N
"Gilfach (site 213), Llangain",SUERC-55508 (GU-35197),1870BC - 1630BC,Wales,Carmarthenshire,Charcoal (alder),AMS,Burnt mound without troughs or hearths.,,N
"Gilfach (site 213), Llangain",SUERC-55512 (GU-35198),1690BC - 1500BC,Wales,Carmarthenshire,Charcoal (hazel),AMS,Burnt mound without troughs or hearths.,,N
"Gors, Llangynog",CAR-957,1750BC - 1420BC,Wales,Carmarthenshire,Charcoal,Radiometric,Standing stone.,,N
Graig Fawr,SUERC-33425 (GU-23388),AD1660 - AD1950,Wales,Carmarthenshire,Peat (humic acid),[Not recorded],1.7m core from a small basin mire.,,Y
Graig Fawr,SUERC-33426 (GU-23389),6470BC - 6390BC,Wales,Carmarthenshire,Peat (humic acid),[Not recorded],1.7m core from a small basin mire.,,Y
Great Pale,CAR-1111,AD880 - AD1040,Wales,Carmarthenshire,Charcoal,Radiometric,Small low oval cairn.,,N
Great Pale,CAR-1112,2190BC - 1770BC,Wales,Carmarthenshire,Charcoal,Radiometric,Small low oval cairn.,,N
Gurrey Cottage (site 24.07),SUERC-57298,3770BC - 3640BC,Wales,Carmarthenshire,"Charcoal (hazel, nutshells x3)",AMS,Neolithic pit.,,N
Gurrey Cottage (site 24.07),SUERC-57299,3780BC - 3650BC,Wales,Carmarthenshire,"Charcoal (emmer wheat, grain x3)",AMS,Neolithic pit.,,N
Gwempa (site 201),SUERC-57307,AD680 - AD880,Wales,Carmarthenshire,"Charcoal (barley, grains)",AMS,Single pit containing charred cereals.,,N
Gwempa (site 201),SUERC-57308,AD650 - AD770,Wales,Carmarthenshire,"Charcoal (oat, grains)",AMS,Single pit containing charred cereals.,,N
Kensington Villa,CAR-1495,4490BC - 4230BC,Wales,Carmarthenshire,Charcoal,Radiometric,"27m diameter, 1.4 m deep hollow.",,N
Llangynog 2,HAR-851,AD30 - AD390,Wales,Carmarthenshire,"Charcoal (wood, one piece)",Radiometric,Rectangular enclosure.,,N
Llangynog 2,HAR-852,AD0 - AD350,Wales,Carmarthenshire,Charcoal (mixed),Radiometric,Rectangular enclosure.,,N
Llangynog 2,HAR-853,AD0 - AD390,Wales,Carmarthenshire,Charcoal (twigs and pieces),Radiometric,Rectangular enclosure.,,N
Llanllwch Bog,Q-458,1750BC - 1230BC,Wales,Carmarthenshire,Peat,[Not recorded],"Palynological study of a post-glacial lake infilled with peat (Thomas 1965, 101).",,N
Llanllwch Bog,Q-459,1690BC - 1210BC,Wales,Carmarthenshire,Peat,[Not recorded],"Palynological study of a post-glacial lake infilled with peat (Thomas 1965, 101).",,N
Llanllwch Bog,SWAN-148,2300BC - 1910BC,Wales,Carmarthenshire,Peat,Radiometric,"Palaeoecological study the recent history of a 41ha ombotrophic bog with a 4m depth of peat (Rosen 1998, 85).",,N
Llanllwch Bog,SWAN-93,AD130 - AD430,Wales,Carmarthenshire,Peat,Radiometric,"Palaeoecological study the recent history of a 41ha ombotrophic bog with a 4m depth of peat (Rosen 1998, 85).",,N
Llanllwch Bog,SWAN-94,1420BC - 1040BC,Wales,Carmarthenshire,Peat,Radiometric,"Palaeoecological study the recent history of a 41ha ombotrophic bog with a 4m depth of peat (Rosen 1998, 85).",,N
Llechwen-Dderi (site 26.06),SUERC-55504 (GU-35193),400BC - 200BC,Wales,Carmarthenshire,Charcoal (hazel),[Not recorded],Burnt mound without troughs or hearths.,,N
Llechwen-Dderi (site 26.06),SUERC-55505 (GU-35194),370BC - 160BC,Wales,Carmarthenshire,Charcoal (hazel),[Not recorded],Burnt mound without troughs or hearths.,,N
"Llwyn (site 501), pit group A",Beta-257705,1750BC - 1520BC,Wales,Carmarthenshire,"Charcoal (hazel, nutshell)",AMS,Prehistoric features around a standing stone,,N
"Llwyn (site 501), pit group A",SUERC-56057 (GU-35415),2120BC - 1770BC,Wales,Carmarthenshire,Charcoal (ash),AMS,Prehistoric features around a standing stone,,N
"Llwyn (site 501), pit group B",Beta-257706,2200BC - 1940BC,Wales,Carmarthenshire,Charcoal (barley),AMS,Prehistoric features around a standing stone,,N
"Llwyn (site 501), pit group C",SUERC-56058 (GU-35416),2120BC - 1770BC,Wales,Carmarthenshire,Charcoal (hazel),AMS,Prehistoric features around a standing stone,,N
Llyn Llech Owain,LuS-7106,1770BC - 1530BC,Wales,Carmarthenshire,Sediment (organic),AMS,Palaeoenvironmental study of a lake set in a rock basin.,,N
Llyn Llech Owain,LuS-7107,3640BC - 3360BC,Wales,Carmarthenshire,Sediment (organic),AMS,Palaeoenvironmental study of a lake set in a rock basin.,,N
Llyn y Fan Fach,SRR-6641,AD1410 - AD1640,Wales,Carmarthenshire,Peat,[Not recorded],Palaeoenvironmental study of relict talus.,,Y
Llyn y Fan Fach,SRR-6644,AD1290 - AD1430,Wales,Carmarthenshire,Peat,[Not recorded],Palaeoenvironmental study of relict talus.,,Y
Llyn y Fan Fach,SRR-6645,AD1310 - AD1620,Wales,Carmarthenshire,Peat,[Not recorded],Palaeoenvironmental study of relict talus.,,Y
Llyn y Fan Fach,SRR-6646,AD1160 - AD1390,Wales,Carmarthenshire,Peat,[Not recorded],Palaeoenvironmental study of relict talus.,,Y
Llyn y Fan Fach,SRR-6647,,Wales,Carmarthenshire,Peat,[Not recorded],"The sedimentology and history of relict talus in the Brecon Beacons, Wales (Radiocarbon certificate, available online).",,Y
Llyn y Fan Fach,SRR-6647,AD1040 - AD1290,Wales,Carmarthenshire,Peat,[Not recorded],Palaeoenvironmental study of relict talus.,,Y
Llyn y Fan Fach,SRR-6648,AD1290 - AD1620,Wales,Carmarthenshire,Peat,[Not recorded],Palaeoenvironmental study of relict talus.,,Y
Llyn y Fan Fach,SRR-6649,AD1040 - AD1300,Wales,Carmarthenshire,Peat,[Not recorded],Palaeoenvironmental study of relict talus.,,Y
Llyn y Fan Fach,SRR-6650,350BC - AD80,Wales,Carmarthenshire,Peat,[Not recorded],Palaeoenvironmental study of relict talus.,,Y
"Machynys, Llanelli",Beta-139982,1260BC - 840BC,Wales,Carmarthenshire,Peat,[Not recorded],Palaeoenvironmental study of floodplain deposits.,,N
"Machynys, Llanelli",Beta-139983,2350BC - 1930BC,Wales,Carmarthenshire,Peat,[Not recorded],Palaeoenvironmental study of floodplain deposits.,,N
"Machynys, Llanelli",Beta-139984,2470BC - 2020BC,Wales,Carmarthenshire,[Not recorded],[Not recorded],Palaeoenvironmental study of floodplain deposits.,,N
Maes y Lan (site 221),SUERC-54693 (GU-34691),AD470 - AD650,Wales,Carmarthenshire,"Charcoal (oat, grain)",AMS,Early medieval pit containing charred cereals.,,N
Maes y Lan (site 221),SUERC-54694 (GU-34692),AD430 - AD650,Wales,Carmarthenshire,"Charcoal (barley, grain)",AMS,Early medieval pit containing charred cereals.,,N
Marros,CAR-1116,3630BC - 3130BC,Wales,Carmarthenshire,[Not recorded],Radiometric,Palaeoenvironmental study of coastal deposits.,,N
Marros,CAR-1117,4330BC - 3970BC,Wales,Carmarthenshire,[Not recorded],Radiometric,Palaeoenvironmental study of coastal deposits.,,N
Merlin's Hill,CAR-958,520BC - 200BC,Wales,Carmarthenshire,Charcoal,Radiometric,Hillfort with evidence for two phases of use.,,N
Merlin's Hill,CAR-959,360BC - AD60,Wales,Carmarthenshire,Charcoal,Radiometric,Hillfort with evidence for two phases of use.,,N
Mylett (site 502),SUERC-54569 (GU-34660),2140BC - 1950BC,Wales,Carmarthenshire,Charcoal (alder),AMS,Pits suggesting an Early Bronze Age settlement and an undated ditch.,,N
Mynydd Llangynderyn,Birm-950,1610BC - 1050BC,Wales,Carmarthenshire,Charcoal (including oak),Radiometric,Standing stone with associated timber structures and features.,,N
Mynydd Myddfai (site MM01),Beta-244187,370BC - 110BC,Wales,Carmarthenshire,[Not recorded],[Not recorded],"Two Middle Iron Age roundhouses with internal features, probably abandoned due to the formation of blanket peat.",,N
Mynydd Myddfai (site MM01),Beta-244188,390BC - 180BC,Wales,Carmarthenshire,[Not recorded],[Not recorded],"Two Middle Iron Age roundhouses with internal features, probably abandoned due to the formation of blanket peat.",,N
Mynydd Myddfai (site MM01),Beta-244189,350BC - 0BC,Wales,Carmarthenshire,[Not recorded],[Not recorded],"Two Middle Iron Age roundhouses with internal features, probably abandoned due to the formation of blanket peat.",,N
Mynydd Myddfai (site MM01),Beta-244190,370BC - 110BC,Wales,Carmarthenshire,[Not recorded],[Not recorded],"Two Middle Iron Age roundhouses with internal features, probably abandoned due to the formation of blanket peat.",,N
Pantymenyn,CAR-1462,2120BC - 1680BC,Wales,Carmarthenshire,Charcoal (?oak),Radiometric,An elongated earthwork enclosure containing a pit circle.,,N
Pantymenyn,CAR-1492,1930BC - 1610BC,Wales,Carmarthenshire,"Charcoal (oak, hazel, alder)",Radiometric,An elongated earthwork enclosure containing a pit circle.,,N
Pantymenyn,CAR-1496,2040BC - 1680BC,Wales,Carmarthenshire,"Charcoal (oak, hazel)",Radiometric,An elongated earthwork enclosure containing a pit circle.,,N
Parry’s Castle Farm,Beta-159459,2460BC - 1930BC,Wales,Carmarthenshire,[Not recorded],[Not recorded],Burnt mound.,,N
Pen cerrig y Mwyn,Beta-120591,AD770 - AD1040,Wales,Carmarthenshire,Charcoal,[Not recorded],Early mining site.,,N
Pen cerrig y Mwyn,Beta-167742,AD430 - AD670,Wales,Carmarthenshire,Peat,[Not recorded],Early mining site.,,N
"Pen Rhiw Wen, core J",CAR-28,AD1010 - AD1280,Wales,Carmarthenshire,Peat,Radiometric,Five monoliths and a core taken as part of a 3-dimensional pollen study of blanket peat.,,N
"Pen Rhiw Wen, core J",CAR-29,AD890 - AD1210,Wales,Carmarthenshire,Peat,Radiometric,Five monoliths and a core taken as part of a 3-dimensional pollen study of blanket peat.,,N
"Pen Rhiw Wen, core J",CAR-30,760BC - 380BC,Wales,Carmarthenshire,Peat,Radiometric,Five monoliths and a core taken as part of a 3-dimensional pollen study of blanket peat.,,N
"Pen Rhiw Wen, core J",CAR-31,980BC - 760BC,Wales,Carmarthenshire,Peat,Radiometric,Five monoliths and a core taken as part of a 3-dimensional pollen study of blanket peat.,,N
"Pen Rhiw Wen, core J",CAR-32,1630BC - 1200BC,Wales,Carmarthenshire,Peat,Radiometric,Five monoliths and a core taken as part of a 3-dimensional pollen study of blanket peat.,,N
"Pen Rhiw Wen, monolith H",CAR-21,AD1150 - AD1300,Wales,Carmarthenshire,Peat,Radiometric,Five monoliths and a core taken as part of a 3-dimensional pollen study of blanket peat.,,N
"Pen Rhiw Wen, monolith H",CAR-22,AD650 - AD950,Wales,Carmarthenshire,Peat,Radiometric,Five monoliths and a core taken as part of a 3-dimensional pollen study of blanket peat.,,N
"Pen Rhiw Wen, monolith H",CAR-23,360BC - AD60,Wales,Carmarthenshire,Peat,Radiometric,Five monoliths and a core taken as part of a 3-dimensional pollen study of blanket peat.,,N
"Pen Rhiw Wen, monolith H",CAR-24,1060BC - 790BC,Wales,Carmarthenshire,Peat,Radiometric,Five monoliths and a core taken as part of a 3-dimensional pollen study of blanket peat.,,N
"Pen Rhiw Wen, monolith H",CAR-25,1420BC - 930BC,Wales,Carmarthenshire,Peat,Radiometric,Five monoliths and a core taken as part of a 3-dimensional pollen study of blanket peat.,,N
"Pen Rhiw Wen, monolith H",CAR-26,1890BC - 1500BC,Wales,Carmarthenshire,Peat,Radiometric,Five monoliths and a core taken as part of a 3-dimensional pollen study of blanket peat.,,N
"Pen Rhiw Wen, monolith K",CAR-33,AD1280 - AD1490,Wales,Carmarthenshire,Peat,Radiometric,Five monoliths and a core taken as part of a 3-dimensional pollen study of blanket peat.,,N
"Pen Rhiw Wen, monolith K",CAR-34,350BC - AD80,Wales,Carmarthenshire,Peat,Radiometric,Five monoliths and a core taken as part of a 3-dimensional pollen study of blanket peat.,,N
"Pen Rhiw Wen, monolith K",CAR-35,1510BC - 1230BC,Wales,Carmarthenshire,Peat,Radiometric,Five monoliths and a core taken as part of a 3-dimensional pollen study of blanket peat.,,N
"Pen Rhiw Wen, monolith K",CAR-36,2580BC - 2030BC,Wales,Carmarthenshire,Mor deposit,Radiometric,Five monoliths and a core taken as part of a 3-dimensional pollen study of blanket peat.,,N
"Pen Rhiw Wen, monolith K",CAR-37,3770BC - 3360BC,Wales,Carmarthenshire,Mor deposit,Radiometric,Five monoliths and a core taken as part of a 3-dimensional pollen study of blanket peat.,,N
"Pen Rhiw Wen, monolith K",CAR-38,4450BC - 4070BC,Wales,Carmarthenshire,Mor deposit,Radiometric,Five monoliths and a core taken as part of a 3-dimensional pollen study of blanket peat.,,N
"Pen Rhiw Wen, monolith L",CAR-15,AD720 - AD1000,Wales,Carmarthenshire,Peat,Radiometric,Five monoliths and a core taken as part of a 3-dimensional pollen study of blanket peat.,,N
"Pen Rhiw Wen, monolith L",CAR-16,750BC - 200BC,Wales,Carmarthenshire,Peat,Radiometric,Five monoliths and a core taken as part of a 3-dimensional pollen study of blanket peat.,,N
"Pen Rhiw Wen, monolith L",CAR-17,3660BC - 3350BC,Wales,Carmarthenshire,Peat,Radiometric,Five monoliths and a core taken as part of a 3-dimensional pollen study of blanket peat.,,N
"Pen Rhiw Wen, monolith L",CAR-18,4850BC - 4510BC,Wales,Carmarthenshire,Mor deposit,Radiometric,Five monoliths and a core taken as part of a 3-dimensional pollen study of blanket peat.,,N
"Pen Rhiw Wen, monolith L",CAR-63,2900BC - 2470BC,Wales,Carmarthenshire,Peat,Radiometric,Five monoliths and a core taken as part of a 3-dimensional pollen study of blanket peat.,,N
"Pen Rhiw Wen, monolith M",CAR-10,1750BC - 1450BC,Wales,Carmarthenshire,Peat,Radiometric,Five monoliths and a core taken as part of a 3-dimensional pollen study of blanket peat.,,N
"Pen Rhiw Wen, monolith M",CAR-11,3020BC - 2630BC,Wales,Carmarthenshire,Peat,Radiometric,Five monoliths and a core taken as part of a 3-dimensional pollen study of blanket peat.,,N
"Pen Rhiw Wen, monolith M",CAR-12,3700BC - 3360BC,Wales,Carmarthenshire,Peat,Radiometric,Five monoliths and a core taken as part of a 3-dimensional pollen study of blanket peat.,,N
"Pen Rhiw Wen, monolith M",CAR-13,4730BC - 4360BC,Wales,Carmarthenshire,Mor deposit,Radiometric,Five monoliths and a core taken as part of a 3-dimensional pollen study of blanket peat.,,N
"Pen Rhiw Wen, monolith M",CAR-14,4790BC - 4370BC,Wales,Carmarthenshire,Mor deposit,Radiometric,Five monoliths and a core taken as part of a 3-dimensional pollen study of blanket peat.,,N
"Pen Rhiw Wen, monolith N",CAR-64,AD1210 - AD1400,Wales,Carmarthenshire,Peat,Radiometric,Five monoliths and a core taken as part of a 3-dimensional pollen study of blanket peat.,,N
"Pen Rhiw Wen, monolith N",CAR-66,3710BC - 3380BC,Wales,Carmarthenshire,Peat,Radiometric,Five monoliths and a core taken as part of a 3-dimensional pollen study of blanket peat.,,N
"Pen Rhiw Wen, monolith N",CAR-83,AD660 - AD970,Wales,Carmarthenshire,Peat,Radiometric,Five monoliths and a core taken as part of a 3-dimensional pollen study of blanket peat.,,N
"Pen Rhiw Wen, monolith N",CAR-84,3800BC - 3380BC,Wales,Carmarthenshire,Peat,Radiometric,Five monoliths and a core taken as part of a 3-dimensional pollen study of blanket peat.,,N
"Pen Rhiw Wen, monolith N",CAR-85,3930BC - 3630BC,Wales,Carmarthenshire,Peat,Radiometric,Five monoliths and a core taken as part of a 3-dimensional pollen study of blanket peat.,,N
Pen y banc (site 23.07),Beta-257720,3500BC - 3100BC,Wales,Carmarthenshire,"Charcoal (hazel, nutshell)",AMS,Group of Neolithic and Early Bronze Age pits.,,N
Pen y banc (site 23.07),Beta-257721,1690BC - 1500BC,Wales,Carmarthenshire,"Charcoal (hazel, nutshell)",AMS,Group of Neolithic and Early Bronze Age pits.,,N
