FUM-nr,X,Antal_dele,Emne_ord,Placering,Dansk_navn,Latinsk_navn,Antal_fossiler,Fund_oplysninger,Notater,Lokalitet,Finder,Fossilets_dimensioner,e,Beskaffenhed,Bevaringstilstand,Foto,Bilag,Beskrevet_af,Udlånsstatus,Opbevares,Box_nr.,Status,Kontaktoplysninger
391,,,fisk-st.sild-neoclupavus/kran/½ rygs.+ finner,,,,,,,,,,,,,,,,,m,,×,
392,,,fisk-skæl,,,,,,,,,,,,,,,,,m,,×,
393,,,fisk-knogle /rest,,,,,,,,,,,,,,,,,m,,×,
394,,,fisk-str.sild - kran./krop ÷hale,,,,,,,,,,,,,,,,,m,,×,
395,,,fisk-str.sild - neoclupavus/hoved/del af krop,,,,,,,,,,,,,,,,,m,,×,
396,,,fisk-st.sild-neoclupavus/kran./del af krop,,,,,,,,,,,,,,,,,m,,×,
397,,,fisk-st.sild-neo/kran. + del af krop,,,,,,,,,,,,,,,,,m,,×,
398,,,fisk-skæl/6 stk.,,,,,,,,,,,,,,,,,m,,×,
399,,,fisk-skæl/2 stk.,,,,,,,,,,,,,,,,,m,,×,
400,,,fisk-st. sild/hoved,,,,,,,,,,,,,,,,,m,,×,
401,,,fiskeskæl/hele + beskadigede,,,,,,,,,,,,,,,,,m,,×,
402,,,fisk-fiskeskæl/10 stk.,,,,,,,,,,,,,,,,,m,,×,
403,,,fisk-st. sild/neo./kran. + del af krop,,,,,,,,,,,,,,,,,m,,×,
404,,,fisk-st.sild - neoclupavus/kran.+ krøllet krop,,,,,,,,,,,,,,,,,m,,×,
405,,,fisk-skæl-osteoglossid/ 1 stk.,,,,,,,,,,,,,,,,,m,,×,
406,,,fisk-st.sild-neo./kran./krop÷hale,,,,,,,,,,,,,,,,,m,,×,
407,,,fisk-st.sild-neo./kran. + krop,,,,,,,,,,,,,,,,,m,,×,
408,,,fisk-ubestemt/diverse knogler,,,,,,,,,,,,,,,,,m,,×,
409,,,fisk-quadrat.+ metepteryg/knogle + 2 skæl,,,,,,,,,,,,,,,,,m,,×,
410,,,fisk- odontaspis/hajtand m. rod,,,,,,,,,,,,,,,D. Ward 2008,,m,,×,
411,,,fisk-scombrid?/knoglefragm.,,,,,,,,,,,,,,,,,m,,×,
