FID,id,toilet_lokalitet,adresse,toilet_type,toilet_betegnelse,handicapadgang,design,helaarsaabent,aabent_april_sept,mandag,tirsdag,onsdag,torsdag,fredag,loerdag,soendag,doegnaabent,bemaerkning,registreret_dato,rettet_dato,longitude,latitude,wkb_geometry
toilet_tmf_kk.82,79,"Nørager Plads, legeplads","Nørager Plads  23, 2720 Vanløse",Bemandet legeplads,Toilet med handicapadgang,Ja,Bygning,Ja,,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Nej,"mandag-fredag: kl. 9.30-13 og lørdage i maj, juni og september kl. 13-16.",,2018-05-14T11:00:19.615,12.475026,55.696272,MULTIPOINT ((12.47502615400401 55.69627227044636))
toilet_tmf_kk.83,80,Bispebjerg Kirkegård,"Frederiksborgvej 123, 2400 København NV",Kirkegård,Toilet med handicapadgang,Ja,Bygning,Ja,,7.00 - 22.00 / 7.00 - 19.00,7.00 - 22.00 / 7.00 - 19.00,7.00 - 22.00 / 7.00 - 19.00,7.00 - 22.00 / 7.00 - 19.00,7.00 - 22.00 / 7.00 - 19.00,7.00 - 22.00 / 7.00 - 19.00,7.00 - 22.00 / 7.00 - 19.00,Nej,"Vinterhalvåret (oktober-marts) 07:00-19:00
 Sommerhalvåret (april-september) 07:00-22:00",2003-08-25T00:00:00,2018-05-14T11:00:19.615,12.531011,55.714253,MULTIPOINT ((12.531011210729503 55.71425287070051))
toilet_tmf_kk.84,82,Husum Torv,"Husum Torv 2, 2700 Brønshøj",Gade,Toilet med handicapadgang,Ja,Danfo,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,,2008-06-02T00:00:00,2018-05-14T11:00:19.615,12.471724,55.711708,MULTIPOINT ((12.471723964210186 55.711708207660756))
toilet_tmf_kk.85,83,"Hans Tavsens Park vest, legeplads","Hans Tavsens Gade  40, 2200 København N",Bemandet legeplads,Toilet,Nej,Bygning,Ja,,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Nej,"Mandag-fredag: kl. 8.45-17 undtagen torsdag, hvor der er åbent til 19.",,2018-05-14T11:00:19.615,12.545727,55.689757,MULTIPOINT ((12.545727028678575 55.68975724459048))
toilet_tmf_kk.126,228,Overgaden oven Vandet,"Overgaden oven VAndet 64A, 1415 København K",Gade,Pissoir,Nej,Støbejern,Nej- Vinterlukket fra 1/10 til 31/3,x - lukkes når frosten kommer,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,Lukkes når forsten kommer,2016-10-28T11:19:17.029,2018-05-14T11:00:19.615,12.595253,55.674969,MULTIPOINT ((12.59525349782349 55.67496883364391))
toilet_tmf_kk.86,84,"Bispeengen, legeplads","Hillerødgade  23b, 2200 København N",Bemandet legeplads,Toilet,Nej,Bygning,Ja,,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Nej,"Sommersæsonen (maj til september) hverdage 9-18 undtagen torsdag, hvor der er åbent til 20. Lørdage åbent 10-17. I juli er der åbent fra 9.30 til 17 på hverdage og lørdag 10-17. I vintersæsonen 9.30 til 17 undtagen mandag, hvor der er åbent til kl. 20.",,2018-05-14T11:00:19.615,12.536173,55.695527,MULTIPOINT ((12.536173445008787 55.69552717252409))
toilet_tmf_kk.87,85,"Husumparken, legeplads","Nordrupvej  16, 2700 Brønshøj",Bemandet legeplads,Toilet,Nej,Bygning,Ja,,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Nej,"sommersæsonen (maj-september) hverdage kl. 9.30-18.00 og søndag kl. 10-15 (undtagen juli). I vintersæsonen (november -februar) åbent 9.30-16 i hverdage. I mellemsæsonen(marts, april og oktober) åbent hverdage kl. 9.30-17 .",,2018-05-14T11:00:19.615,12.47096,55.704234,MULTIPOINT ((12.47096044761589 55.70423400104491))
toilet_tmf_kk.88,86,"Hans Tavsens Park øst, legeplads","Hans Tavsens Gade  40, 2200 København N",Bemandet legeplads,Toilet,Nej,Bygning,Ja,,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Nej,sommersæsonen (maj-september) mandag-fredag: kl. 9-18 og lørdag: kl. 10-17. I vintersæsonen (oktober til april) 9-16.30 i hverdagene,,2018-05-14T11:00:19.615,12.54978,55.688329,MULTIPOINT ((12.549780149466402 55.688328549645625))
toilet_tmf_kk.89,87,"Kildevældsparken, legeplads","Vognmandsmarken  69, 2100 København Ø",Bemandet legeplads,Toilet,Nej,Bygning,Ja,,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,,,2018-05-14T11:00:19.615,12.565102,55.714445,MULTIPOINT ((12.565101693469991 55.714444598116266))
toilet_tmf_kk.90,90,"Nørrebroparken, legeplads","Stefansgade 30, 2200 København N",Bemandet legeplads,Toilet,Nej,Bygning,Ja,,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Nej,Sommersæsonen (maj-september) hverdage 9-18 og lørdag 10-17. i skolernes sommerferie er der også åbent søndag kl 10-17. I vintersæsonen (oktober-april) åbent hverdage 9-16.30.,,2018-05-14T11:00:19.615,12.541991,55.694184,MULTIPOINT ((12.541990585864959 55.69418450640242))
toilet_tmf_kk.91,91,"Wesselsgade, legeplads","Wesselsgade 12, 2200 København N",Bemandet legeplads,Toilet,Nej,Bygning,Ja,,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Nej,Sommersæsonen (maj-september) mandag-fredag kl. 9.30-17.30 og søndag kl. 10-17. I vintersæsonen (oktober - april) åbent på hverdage fra kl. 9.30-17.,,2018-05-14T11:00:19.615,12.559995,55.685969,MULTIPOINT ((12.559994997287033 55.68596884175916))
toilet_tmf_kk.92,97,Sundbyøster Plads,"Amagerbrogade 185, 2300 København S",Gade,Toilet med handicapadgang,Ja,Danfo,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,,2008-06-02T00:00:00,2018-05-14T11:00:19.615,12.612123,55.651841,MULTIPOINT ((12.61212289188172 55.65184148020616))
toilet_tmf_kk.93,113,Blågårds Plads,"Blågårds Plads 5B, 2200 København N",Gade,Pissoir,Nej,Støbejern,Nej- Vinterlukket fra 1/10 til 31/3,x - lukkes når frosten kommer,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,Lukkes når forsten kommer,2001-07-13T00:00:00,2018-05-14T11:00:19.615,12.557011,55.686248,MULTIPOINT ((12.557010667589434 55.686247604051644))
toilet_tmf_kk.94,114,Borgergade ,"Borgergade 1F, 1300 København K",Gade,Toilet med handicapadgang,Ja,Danfo,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,,2008-06-03T00:00:00,2018-05-14T11:00:19.615,12.583712,55.682099,MULTIPOINT ((12.583711551841624 55.68209859729619))
toilet_tmf_kk.95,120,Emdrup Torv,"Emdrupvej 185, 2400 København NV",Gade,Toilet med handicapadgang,Ja,Danfo,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,,2008-06-02T00:00:00,2018-05-14T11:00:19.615,12.529522,55.723012,MULTIPOINT ((12.529521970392675 55.72301173060974))
toilet_tmf_kk.96,121,Enghave plads ,"Enghave Plads 13b, 1670 København V",Gade,Toilet med handicapadgang,Ja,Danfo,Ja,,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Nej,,2010-10-04T10:37:26,2018-05-14T11:00:19.615,12.54562,55.667138,MULTIPOINT ((12.545620348486123 55.66713841083004))
toilet_tmf_kk.97,124,Engsvinget ,"Engsvinget 46, 2400 København NV",Park,Toilet med handicapadgang,Ja,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,2002-11-11T00:00:00,2018-05-14T11:00:19.615,12.514386,55.716726,MULTIPOINT ((12.514385620656677 55.716725551543824))
toilet_tmf_kk.98,126,Israels Plads,"Frederiksborggade 21, 1360 København K",Opsyn,Toilet med personale,Nej,Bygning,Ja,,10.00 - 19.00,10.00 - 19.00,10.00 - 19.00,10.00 - 19.00,10.00 - 19.00,10.00 - 20.00,10.00 - 17.00,Nej,Info om jul/nytår offentliggøres medio december hvert år.,2002-11-12T00:00:00,2018-05-14T11:00:19.615,12.569471,55.684294,MULTIPOINT ((12.56947078985676 55.684293616499765))
toilet_tmf_kk.99,132,Halmtorvet,"Halmtorvet 12A, 1700 København V",Gade,Toilet med handicapadgang,Ja,Danfo,Ja,,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Nej,,2010-10-04T10:39:43,2018-05-14T11:00:19.615,12.561251,55.670548,MULTIPOINT ((12.561251150228584 55.67054767323454))
toilet_tmf_kk.100,133,Den brune kødby,"Halmtorvet 9C, 1700 København V",Gade,Toilet,Nej,CPH Urban,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,,2013-12-11T09:54:29,2018-05-14T11:00:19.615,12.561735,55.670053,MULTIPOINT ((12.561735009230418 55.670053009570836))
toilet_tmf_kk.101,135,Havnegade,"Havnegade 20, 1058 København K",Gade,Toilet med handicapadgang,Ja,Danfo,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,,2008-06-02T00:00:00,2018-05-14T11:00:19.615,12.588465,55.676341,MULTIPOINT ((12.588465065842694 55.676341140845196))
toilet_tmf_kk.102,142,"Istedgade, v. Mariakirken","Istedgade 20, 1650 København V",Gade,Pissoir,Nej,Andet,Nej- Vinterlukket fra 1/10 til 31/3,x - lukkes når frosten kommer,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,Lukkes når forsten kommer,2011-09-23T11:34:09,2018-05-14T11:00:19.615,12.560541,55.67169,MULTIPOINT ((12.560541359123253 55.67168963872638))
toilet_tmf_kk.103,146,Kagsmosen,"Kagsvang 31, 2700 Brønshøj",Park,Toilet,Nej,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,2002-11-07T00:00:00,2018-05-14T11:00:19.615,12.458448,55.710409,MULTIPOINT ((12.458447918576654 55.71040881084766))
toilet_tmf_kk.104,147,"Sundby Kirkegård, i Kapel","Kastrupvej 53, 2300 København S",Kirkegård,Toilet med handicapadgang,Ja,Bygning,Ja,,7.00 - 22.00 / 7.00 - 19.00,7.00 - 22.00 / 7.00 - 19.00,7.00 - 22.00 / 7.00 - 19.00,7.00 - 22.00 / 7.00 - 19.00,7.00 - 22.00 / 7.00 - 19.00,7.00 - 22.00 / 7.00 - 19.00,7.00 - 22.00 / 7.00 - 19.00,Nej,"Vinterhalvåret (oktober-marts) 07:00-19:00
 Sommerhalvåret (april-september) 07:00-22:00",2003-08-25T00:00:00,2018-05-14T11:00:19.615,12.618216,55.656695,MULTIPOINT ((12.618216497416556 55.65669457413465))
toilet_tmf_kk.105,151,Korsgade 58,"Korsgade 58B, 2200 København N",Gade,Pissoir,Nej,Støbejern,Nej- Vinterlukket fra 1/10 til 31/3,x - lukkes når frosten kommer,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,Lukkes når forsten kommer,2001-07-13T00:00:00,2018-05-14T11:00:19.615,12.553934,55.686647,MULTIPOINT ((12.553933750286665 55.68664738910195))
toilet_tmf_kk.106,153,"Langeliniekaj, yderst på kajen","Langeliniekaj 63, 2100 København Ø",Gade,Toilet,Nej,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,2002-11-06T00:00:00,2018-05-14T11:00:19.615,12.600802,55.703656,MULTIPOINT ((12.600802447769695 55.703655815454745))
toilet_tmf_kk.107,154,Hans Knudsens Plads ,"Lyngbyvej 90, 2100 København Ø",Gade,Toilet med handicapadgang,Ja,Danfo,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,,2008-06-02T00:00:00,2018-05-14T11:00:19.615,12.560245,55.712948,MULTIPOINT ((12.560244604663032 55.71294770015501))
toilet_tmf_kk.109,162,Moseskellet ,"Moseskellet 47, 2400 København NV",Park,Toilet,Nej,Bygning,Ja,,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,,2002-11-07T00:00:00,2018-05-14T11:00:19.615,12.52282,55.722022,MULTIPOINT ((12.522820207092275 55.722021889789374))
toilet_tmf_kk.110,163,Mosesvinget ,"Mosesvinget 1, 2400 København NV",Park,Toilet,Nej,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,2002-11-07T00:00:00,2018-05-14T11:00:19.615,12.50484,55.712979,MULTIPOINT ((12.504839978094118 55.71297865155547))
toilet_tmf_kk.111,164,Mozarts Plads ,"Mozarts Plads 1A, 2450 København SV",Gade,Toilet med handicapadgang,Ja,Danfo,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,,2013-07-10T13:18:41,2018-05-14T11:00:19.615,12.534678,55.64871,MULTIPOINT ((12.534677896169455 55.64870994859294))
toilet_tmf_kk.112,166,Nikolaj Plads ,"Nikolaj Plads 10b, 1067 København K",Gade,Pissoir,Nej,Støbejern,Nej- Vinterlukket fra 1/10 til 31/3,x - lukkes når frosten kommer,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,Lukkes når forsten kommer,2001-08-10T00:00:00,2018-05-14T11:00:19.615,12.581856,55.679004,MULTIPOINT ((12.581856383101117 55.679004125267966))
toilet_tmf_kk.113,200,Valby tingsted,"Valby tingsted 1B, 2500 Valby",Gade,Toilet med handicapadgang,Ja,Danfo,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,,2008-06-02T00:00:00,2018-05-14T11:00:19.615,12.514116,55.666027,MULTIPOINT ((12.514116365176406 55.66602712380651))
toilet_tmf_kk.114,203,Ved Stranden ,"Ved Stranden 18A, 1061 København K",Gade,Toilet med handicapadgang,Ja,Københavner,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,,2013-12-17T13:04:58,2018-05-14T11:00:19.615,12.580907,55.677576,MULTIPOINT ((12.580906970308178 55.67757624015171))
toilet_tmf_kk.115,205,Vesterbro Torv,"Vesterbrogade 47, 1620 København V",Opsyn,Toilet med personale,Nej,Bygning,Ja,,10.00 -  17:30,10.00 -  17:30,10.00 -  17:30,10.00 -  17:30,10.00 -  17:30,lukket,lukket,Nej,Info om jul/nytår offentliggøres medio december hvert år.,2002-11-13T00:00:00,2018-05-14T11:00:19.615,12.555008,55.672196,MULTIPOINT ((12.555007583656028 55.67219586541539))
toilet_tmf_kk.116,208,Vigerslevvej,"Vigerslevvej 346, 2500 Valby",Park,Toilet,Nej,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,2002-11-07T00:00:00,2018-05-14T11:00:19.615,12.495525,55.646133,MULTIPOINT ((12.495524968882167 55.64613327637771))
toilet_tmf_kk.117,7,"Christianshavns Vold, Elefantens bastion","Christianshavns Voldgade 36, 1424 København K",Park,Toilet med handicapadgang,Ja,Bygning,Ja,,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,,2006-03-14T00:00:00,2018-05-14T11:00:19.615,12.592711,55.669983,MULTIPOINT ((12.59271062181797 55.66998348006801))
toilet_tmf_kk.118,209,Bella Center Station,"Ørestads Boulevard 39, 2300 København S",AFA ,Toilet,Nej,AFA søjle,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,Info om jul/nytår 2016. Info lægges på KK.dk medio december hvert år.,2013-04-11T13:38:31,2018-05-14T11:00:19.615,12.583093,55.638528,MULTIPOINT ((12.583093389194621 55.63852812849683))
toilet_tmf_kk.119,210,Ørestadsparken,"Ørestads Boulevard 66, 2300 København S",Gade,Toilet med handicapadgang,Ja,Danfo,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,,2010-10-04T10:45:34,2018-05-14T11:00:19.615,12.579976,55.633289,MULTIPOINT ((12.579975875558985 55.63328856325167))
toilet_tmf_kk.120,212,"Fælledparken, Sansehaven","Øster Allé  1E, 2100 København Ø",Park,Toilet med handicapadgang,Ja,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,2002-11-07T00:00:00,2018-05-14T11:00:19.615,12.573372,55.69995,MULTIPOINT ((12.573372072521385 55.69995013241711))
toilet_tmf_kk.121,214,Elna Munchs Plads ,"Elna Munchs Plads  2, 2720 Vanløse",Gade,Toilet med handicapadgang,Ja,Danfo,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,,2008-06-02T00:00:00,2018-05-14T11:00:19.615,12.480697,55.691461,MULTIPOINT ((12.480696816671177 55.6914609959221))
toilet_tmf_kk.122,215,Ålholm Plads,"Ålholm Plads 2, 2500 Valby",AFA ,Toilet,Nej,AFA søjle,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,,2001-08-13T00:00:00,2018-05-14T11:00:19.615,12.48911,55.672384,MULTIPOINT ((12.489110410546628 55.6723840991313))
toilet_tmf_kk.123,221,Kultorvet ,"Kultorvet 9B, 1175 København K",Gade,Toilet med handicapadgang,Ja,Danfo,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,,2016-05-13T12:36:27.596,2018-05-14T11:00:19.615,12.574019,55.682303,MULTIPOINT ((12.574018982480839 55.68230318094181))
toilet_tmf_kk.124,224,"Sporsløjfen, v. Svanemølle st.","Østerbrogade 244, 2100 København Ø",Gade,Toilet med handicapadgang,Ja,Københavner,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,,2016-06-08T11:05:45.939,2018-05-14T11:00:19.615,12.577939,55.714884,MULTIPOINT ((12.577938568760201 55.71488436067521))
toilet_tmf_kk.125,226,Islands Brygge,"Islands Brygge 20A , 2300 København S",Gade,Toilet med handicapadgang,Ja,Københavner,Ja,,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,,2016-06-08T11:13:51.352,2018-05-14T11:00:19.615,12.573933,55.665352,MULTIPOINT ((12.573933162362598 55.66535194161415))
toilet_tmf_kk.127,230,"Gunløgsgade, legeplads","Gunløgsgade  26, 2300 København S",Bemandet legeplads,Toilet,Nej,Bygning,Ja,,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,,2016-11-15T13:52:50.188,2018-05-14T11:00:19.615,12.579507,55.664607,MULTIPOINT ((12.579507250452659 55.664606843027514))
toilet_tmf_kk.128,231,"Mimersparken, legeplads","Borgmestervangen  51, 2200 København N",Bemandet legeplads,Toilet,Nej,Bygning,Ja,,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Nej,Sommersæsonen (maj-september) mandag-fredag 9-18 og weekend 11-17. I vintersæsonen 9-17 på hverdage og lørdag 11-16.,2016-11-15T13:52:50.188,2018-05-14T11:00:19.615,12.541201,55.704799,MULTIPOINT ((12.541200908882407 55.704798533821155))
toilet_tmf_kk.129,232,"Kornblomstparken, legeplads","Øselsgade 5, 2300 København S",Bemandet legeplads,Toilet med handicapadgang,Ja,Bygning,Ja,,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Nej,Mandag-onsdag kl. 9.30-18. Torsdag 12-20. Fredag 12 -18 og lørdag fra kl 10-17.,2016-11-15T13:52:50.188,2018-05-14T11:00:19.615,12.600624,55.661005,MULTIPOINT ((12.600623511975614 55.66100476884178))
toilet_tmf_kk.130,66,"Amager Strandpark, Strandpromenaden nord","Amager Strand Promenaden 255, 2300 København S",Park (Strand),Toilet med handicapadgang,Ja,Bygning,Ja,,8.00 - 22.00 / 18.00,8.00 - 22.00 / 24.00 / 18.00,8.00 - 22.00 / 24.00 / 18.00,8.00 - 22.00 / 24.00 / 18.00,8.00 - 22.00 / 24.00 / 18.00,8.00 - 22.00 / 24.00 / 18.00,8.00 - 22.00 / 24.00 / 18.00,Nej,"Højsæson: 1. maj til 30. sep. Kl 8.00 til 22.00 alle ugen dage. Fra 1. juni til 31 august kl. 8.00 til 24.00 fredag, lørdag og søndag. Lavsæson: 1. okt til 30. april. Kl. 8.00 til 18.00 alle dage. Her er kun handicaptoilettet åbent.. Kontrakt løber til 28.2.18. Handicaptoilet er helårsåbent",,2018-05-14T11:00:19.615,12.64934,55.65453,MULTIPOINT ((12.649340219856079 55.65452966793064))
toilet_tmf_kk.131,9,"Langelinie, østlige ende af bro","Langelinie 1, 2100 København Ø",Park,Toilet med handicapadgang,Ja,Bygning,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,2002-11-06T00:00:00,2018-05-14T11:00:19.615,12.59472,55.694577,MULTIPOINT ((12.594719722611963 55.69457712055326))
