Year,Month,Day,Time,Town / Village,Area,Occupation_x000D_(Where Relevant),Description,,Blwyddyn,Mis,Dydd,Amser,Tref / Pentref,Ardal,Galwediageth_x000D_(Lle'n Briodol ),Disgrifiad
1998,2,9,15:40,Barry,South Glamorgan,-,"Blast of orange light. In the same direction, three golden balls appeared, that were brighter and then they disappeared.",,1998,2,9,0.652777778,Y Barri,De Morgannwg,-,"Ffrwydrad o oleuni oren. Yn yr un cyfeiriad, ymddangosodd tair pêl euraid, a oedd yn fwy llachar ac yna diflannon nhw."
1998,3,11,19:45,Bwlchgwyn,Clwyd,-,"A large, black, oblong shaped object, approx. 30-40ft long. It was about 15-25ft off the ground.",,1998,3,11,0.822916667,Bwlchgwyn,Clwyd,-,"Gwrthrych mawr, du, hirgrwn, tua 30-40 troedfedd o hyd.  Roedd tu 15-25 troedfedd uwchben y ddaear."
1998,3,30,23:20,Wrexham,Clwyd,-,"One large, square-ish, very bright object. Was blue-ish with lights around it. There was a humming sound and a nasty smell.",,1998,3,30,0.972222222,Wrecsam,Clwyd,-,"Un gwrthrych mawr, sgwaraidd, llachar iawn. Roedd yn lasaidd gyda goleuadau o'i gwmpas. Roedd sŵn grwnan ac arogl ffiaidd."
1998,3,31,04:20,Clywd Mountains/Clywd,Powys,-,"An object, had blue lights on the top and white lights on the bottom. Was 40ft in length. About 600ft high.",,1998,3,31,0.180555556,Mynyddoedd Clywd/Clywd,Powys,-,"Gwrthrych, â goleuadau glas ar ei frig a goleuadau gwyn ar y gwaelod. Roedd yn 40 troedfedd o hyd. Tua 600 troedfedd o uchder."
1998,5,9,21:40,Crumlin,Gwent,-,"A huge meccano/round type looking structure/object, with pulsing red, green and white lights. Very slow moving.",,1998,5,9,0.902777778,Crymyin,Gwent,-,"Un strwythur/gwrthrych enfawr â golwg tebyg i meccano/crwn, gyda goleuadau coch, gwyrdd a gwyn a oedd yn pwlsadu. Yn symud yn araf iawn."
1998,5,18,03:15,Llanfair P G,Gwynedd,-,"One long shaped object, with six flashing lights. They were flashing from faded to very bright. They were moving from North to South.",,1998,5,18,0.135416667,Llanfair P G,Gwynedd,-,"Un gwrthrych siâp hir, a chwech o oleuadau a oedd yn fflachio. Roedden nhw'n fflachio o ddi-liw i lachar iawn. Roedden nhw'n symud o'r Gogledd tua'r De."
1998,5,28,00:32,Bangor,Gwynedd,-,"One light, golden in appearance, larger and brighter than a planet. Was travelling from South West to the East.",,1998,5,28,0.022222222,Bangor,Gwynedd,-,"Un goleuni, euraid o ran golwg, yn fwy o faint a mwy llachar na phlaned. Roedd yn teithio o'r De-orllewin tua'r Dwyrain."
1998,5,29,02:15,"Ogmore Vale,nr Bridgend",Mid Glamorgan,-,"No distinctive shape, but was extremely bright red. Had white and blue flashing lights. It was extremely noisy. Shot off at great speed.",,1998,5,29,0.09375,"Bro Ogwr,ger Penybont",Morgannwg Ganol,-,"Dim siâp arbennig, ond roedd yn goch llachar iawn. Roedd ganddo oleuadau gwyn a glas yn fflachio. Roedd yn hynod o swnllyd. Symudodd i ffwrdd ar gyflymder anhygoel."
1998,6,12,21:00,Benllech,Isle of Anglesey,-,"One white ball of light, the size of a 5p piece at arms length. Plus, there were two smaller, faint objects in trail too.",,1998,6,12,0.875,Benllech,Ynys Môn,-,"Un bêl wen o oleuni, maint darn 5c ar hyd braich. Hefyd, roedd dau wrthrych gwelw, llai o faint yn ei dilyn."
1998,8,2,01:40,Wrexham,Clwyd,-,"One glowing outer ring, surrounding an oval structure with pulsating lights.",,1998,8,2,0.069444444,Wrecsam,Clwyd,-,"Un fodrwy allanol dywynnol, yn amgylchynu strwythur hirgrwn â goleuadau a oedd yn pwlsadu."
