Name,Lab,Range,Country,Local authority,Material,Technique,Description of site,Reservations,Certificate,,Enw,Lab,Maes,Gwlad,Awdurdod Lleol,Deunydd,Techneg,Disgrifiad o'r safle,Amheuon,Tystysgrif
Bryn Celli Ddu,UB-6822,5990BC - 5730BC,Wales,Isle of Anglesey,Charcoal (pine),AMS,Passage tomb overlying Mesolithic features.,[None recorded],Y,,Bryn Celli Ddu,UB-6822,5990BC - 5730BC,Cymru,Ynys Môn,Golosg (pinwydd),AMS,Beddrod cyntedd yn gorwedd dros nodweddion Mesolithig.,[Heb eu cofnodi],Y
Bryn Celli Ddu,UB-6823,5990BC - 5730BC,Wales,Isle of Anglesey,Charcoal (pine),AMS,Passage tomb overlying Mesolithic features.,[None recorded],Y,,Bryn Celli Ddu,UB-6823,5990BC - 5730BC,Cymru,Ynys Môn,Golosg (pinwydd),AMS,Beddrod cyntedd yn gorwedd dros nodweddion Mesolithig.,[Heb eu cofnodi],Y
Bryn Celli Ddu,UB-6824,3100BC - 2890BC,Wales,Isle of Anglesey,Charcoal (Prunus sp),AMS,Passage tomb overlying Mesolithic features.,[None recorded],Y,,Bryn Celli Ddu,UB-6824,3100BC - 2890BC,Cymru,Ynys Môn,Golosg (Prunus sp),AMS,Beddrod cyntedd yn gorwedd dros nodweddion Mesolithig.,[Heb eu cofnodi],Y
Bryn Celli Ddu,UB-6825,3100BC - 2900BC,Wales,Isle of Anglesey,Charcoal (Pomoideae),AMS,Passage tomb overlying Mesolithic features.,[None recorded],Y,,Bryn Celli Ddu,UB-6825,3100BC - 2900BC,Cymru,Ynys Môn,Golosg (Pomoideae),AMS,Beddrod cyntedd yn gorwedd dros nodweddion Mesolithig.,[Heb eu cofnodi],Y
Bryn Celli Ddu,UB-7113,3270BC - 2900BC,Wales,Isle of Anglesey,"Bone (human, adult >25 years old, cremated)",AMS,Passage tomb overlying Mesolithic features.,[None recorded],Y,,Bryn Celli Ddu,UB-7113,3270BC - 2900BC,Cymru,Ynys Môn,"Asgwrn (dynol, oedolyn >25 blwydd oed, amlosgedig)",AMS,Beddrod cyntedd yn gorwedd dros nodweddion Mesolithig.,[Heb eu cofnodi],Y
Bryn Celli Ddu,UB-7114,3330BC - 2910BC,Wales,Isle of Anglesey,"Bone (human, adult >21 years old, cremated)",AMS,Passage tomb overlying Mesolithic features.,[None recorded],Y,,Bryn Celli Ddu,UB-7114,3330BC - 2910BC,Cymru,Ynys Môn,"Asgwrn (dynol, oedolyn >21 blwydd oed, amlosgedig)",AMS,Beddrod cyntedd yn gorwedd dros nodweddion Mesolithig.,[Heb eu cofnodi],Y
Bryn Celli Ddu,UB-7115,3100BC - 2890BC,Wales,Isle of Anglesey,"Bone (human, sub-adult > 13 years old, cremated)",AMS,Passage tomb overlying Mesolithic features.,[None recorded],Y,,Bryn Celli Ddu,UB-7115,3100BC - 2890BC,Cymru,Ynys Môn,"Asgwrn (dynol, rhag-oedolyn > 13 blwydd oed, amlosgedig)",AMS,Beddrod cyntedd yn gorwedd dros nodweddion Mesolithig.,[Heb eu cofnodi],Y
Bryn Celli Ddu,UB-7116,3500BC - 3110BC,Wales,Isle of Anglesey,"Bone (human, adult >18 years old, cremated)",AMS,Passage tomb overlying Mesolithic features.,[None recorded],Y,,Bryn Celli Ddu,UB-7116,3500BC - 3110BC,Cymru,Ynys Môn,"Asgwrn (dynol, oedolyn >18 blwydd oed, amlosgedig)",AMS,Beddrod cyntedd yn gorwedd dros nodweddion Mesolithig.,[Heb eu cofnodi],Y
Bryn Celli Ddu,UB-7117,3270BC - 2900BC,Wales,Isle of Anglesey,"Bone (human, adult > 18 years old, cremated)",AMS,Passage tomb overlying Mesolithic features.,[None recorded],Y,,Bryn Celli Ddu,UB-7117,3270BC - 2900BC,Cymru,Ynys Môn,"Asgwrn (dynol, oedolyn > 18 blwydd oed, amlosgedig)",AMS,Beddrod cyntedd yn gorwedd dros nodweddion Mesolithig.,[Heb eu cofnodi],Y
Bryn Celli Ddu,UB-7118,3090BC - 2890BC,Wales,Isle of Anglesey,"Bone (human, adult >30 years old, cremated)",AMS,Passage tomb overlying Mesolithic features.,[None recorded],Y,,Bryn Celli Ddu,UB-7118,3090BC - 2890BC,Cymru,Ynys Môn,"Asgwrn (dynol, oedolyn >30 blwydd oed, amlosgedig)",AMS,Beddrod cyntedd yn gorwedd dros nodweddion Mesolithig.,[Heb eu cofnodi],Y
