Name,Lab,Range,Country,Local authority,Material,Technique,Description of site,Reservations,Certificate,,Enw,Lab,Maes,Gwlad,Awdurdod Lleol,Deunydd,Techneg,Disgrifiad o'r safle,Amheuon,Tystysgrif
Steynton (site 513),SUERC-54680 (GU-34681),1890BC - 1690BC,Wales,Pembrokeshire,Charcoal (hazel),[Not recorded],"Two pits containing Grooved Ware pottery, and a collection of cremated burials associated with a ring ditch.",,N,,Steynton (safle 513),SUERC-54680 (GU-34681),1890BC - 1690BC,Cymru,Sir benfro,Golosg (coll),[Heb ei gofnodi],"Dau bwll yn cynnwys crochenwaith Llestri Rhychiog, a chasgliad o gladdiadau amlosgedig yn gysylltiedig â ffos gron.",,N
Steynton (site 513),SUERC-54681 (GU-34682),1880BC - 1690BC,Wales,Pembrokeshire,Carbonised residue (on pot sherd),[Not recorded],"Two pits containing Grooved Ware pottery, and a collection of cremated burials associated with a ring ditch.",,N,,Steynton (safle 513),SUERC-54681 (GU-34682),1880BC - 1690BC,Cymru,Sir benfro,Gweddillion carboneiddiedig (ar dalch o ddysgl),[Heb ei gofnodi],"Dau bwll yn cynnwys crochenwaith Llestri Rhychiog, a chasgliad o gladdiadau amlosgedig yn gysylltiedig â ffos gron.",,N
"Steynton (site 513), western pit group",SUERC-54659 (GU-34666),2880BC - 2610BC,Wales,Pembrokeshire,Charcoal (hazel),AMS,"Two pits containing Grooved Ware pottery, and a collection of cremated burials associated with a ring ditch.",,N,,"Steynton (safle 513), grŵp pwll gorllewinol",SUERC-54659 (GU-34666),2880BC - 2610BC,Cymru,Sir benfro,Golosg (coll),AMS,"Dau bwll yn cynnwys crochenwaith Llestri Rhychiog, a chasgliad o gladdiadau amlosgedig yn gysylltiedig â ffos gron.",,N
"Steynton (site 513), western pit group",SUERC-54660 (GU-34667),2870BC - 2570BC,Wales,Pembrokeshire,"Charcoal (hazel, roundwood)",AMS,"Two pits containing Grooved Ware pottery, and a collection of cremated burials associated with a ring ditch.",,N,,"Steynton (safle 513), grŵp pwll gorllewinol",SUERC-54660 (GU-34667),2870BC - 2570BC,Cymru,Sir benfro,"Golosg (coll, pren crwn)",AMS,"Dau bwll yn cynnwys crochenwaith Llestri Rhychiog, a chasgliad o gladdiadau amlosgedig yn gysylltiedig â ffos gron.",,N
"Steynton (site 513), western pit group",SUERC-54661 (GU-34668),2890BC - 2660BC,Wales,Pembrokeshire,"Charcoal (hazel, nutshell)",AMS,"Two pits containing Grooved Ware pottery, and a collection of cremated burials associated with a ring ditch.",,N,,"Steynton (safle 513), grŵp pwll gorllewinol",SUERC-54661 (GU-34668),2890BC - 2660BC,Cymru,Sir benfro,"Golosg (coll, masgl)",AMS,"Dau bwll yn cynnwys crochenwaith Llestri Rhychiog, a chasgliad o gladdiadau amlosgedig yn gysylltiedig â ffos gron.",,N
"Steynton (site 513), western pit group",SUERC-54662 (GU-34669),2580BC - 2340BC,Wales,Pembrokeshire,Charcoal (hazel),AMS,"Two pits containing Grooved Ware pottery, and a collection of cremated burials associated with a ring ditch.",,N,,"Steynton (safle 513), grŵp pwll gorllewinol",SUERC-54662 (GU-34669),2580BC - 2340BC,Cymru,Sir benfro,Golosg (coll),AMS,"Dau bwll yn cynnwys crochenwaith Llestri Rhychiog, a chasgliad o gladdiadau amlosgedig yn gysylltiedig â ffos gron.",,N
Steynton ring ditch (site 505),Beta-249346,1890BC - 1660BC,Wales,Pembrokeshire,Charcoal (Prunus),AMS,Ring ditch.,,N,,Ffos gylch Steynton (safle 505),Beta-249346,1890BC - 1660BC,Cymru,Sir benfro,Golosg (Prunus),AMS,Ffos gron.,,N
Steynton ring ditch (site 505),SUERC-56059 (GU-35417),2200BC - 1930BC,Wales,Pembrokeshire,Charcoal (hazel),AMS,Ring ditch.,,N,,Ffos gylch Steynton (safle 505),SUERC-56059 (GU-35417),2200BC - 1930BC,Cymru,Sir benfro,Golosg (coll),AMS,Ffos gron.,,N
Tre-llys,NPL-97,40070BC - 39620BC,Wales,Pembrokeshire,Shell (marine),[Not recorded],Gravel pit excavated in outwash gravels from the 'South Wales end-morraine'.,,N,,Tre-llys,NPL-97,40070BC - 39620BC,Cymru,Sir benfro,Cragen (forol),[Heb ei gofnodi],Pwll graean a gloddiwyd mewn graeanau allolchi o 'farian pen De Cymru'.,,N
Ty-Rhyg,SRR-2092,AD690 - AD1390,Wales,Pembrokeshire,Peat,[Not recorded],"Area of wet heath on a valley floor (Seymour 1985, 124).",,N,,Ty-Rhyg,SRR-2092,AD690 - AD1390,Cymru,Sir benfro,Mawn,[Heb ei gofnodi],"Ardal o waun gwlyb ar lawr dyffryn (Seymour 1985, 124).",,N
"Upper Neeston (site 511), Henbrandston",Beta-218656,1530BC - 1290BC,Wales,Pembrokeshire,"Wood (oak, heartwood, with at least 114 rings)",[Not recorded],"Burnt mound containing two troughs, one of which was wooden, and a hearth.",,N,,"Neeston Uchaf (safle 511), Henbrandston",Beta-218656,1530BC - 1290BC,Cymru,Sir benfro,"Pren (derw, rhuddin, ag o leiaf 114 blwyddgylch)",[Heb ei gofnodi],"Twmpath llosg yn cynnwys dau gafn, yn ohonynt yn bren, ac aelwyd.",,N
"Upper Neeston (site 511), Henbrandston",Beta-257710,1530BC - 1400BC,Wales,Pembrokeshire,Charcoal (grain),[Not recorded],"Burnt mound containing two troughs, one of which was wooden, and a hearth.",,N,,"Neeston Uchaf (safle 511), Henbrandston",Beta-257710,1530BC - 1400BC,Cymru,Sir benfro,Golosg (grawn),[Heb ei gofnodi],"Twmpath llosg yn cynnwys dau gafn, yn ohonynt yn bren, ac aelwyd.",,N
"Upper Neeston (site 511), Henbrandston",Beta-257711,1530BC - 1400BC,Wales,Pembrokeshire,Charcoal (grain),[Not recorded],"Burnt mound containing two troughs, one of which was wooden, and a hearth.",,N,,"Neeston Uchaf (safle 511), Henbrandston",Beta-257711,1530BC - 1400BC,Cymru,Sir benfro,Golosg (grawn),[Heb ei gofnodi],"Twmpath llosg yn cynnwys dau gafn, yn ohonynt yn bren, ac aelwyd.",,N
"Upper Neeston (site 511), Henbrandston",SUERC-55517 (GU-35203),1500BC - 1320BC,Wales,Pembrokeshire,Charcoal (alder),[Not recorded],"Burnt mound containing two troughs, one of which was wooden, and a hearth.",,N,,"Neeston Uchaf (safle 511), Henbrandston",SUERC-55517 (GU-35203),1500BC - 1320BC,Cymru,Sir benfro,Golosg (gwern),[Heb ei gofnodi],"Twmpath llosg yn cynnwys dau gafn, yn ohonynt yn bren, ac aelwyd.",,N
"Upper Neeston (site 511), Henbrandston",SUERC-55518 (GU-35204),1500BC - 1300BC,Wales,Pembrokeshire,"Charcoal (oak, roundwood)",[Not recorded],"Burnt mound containing two troughs, one of which was wooden, and a hearth.",,N,,"Neeston Uchaf (safle 511), Henbrandston",SUERC-55518 (GU-35204),1500BC - 1300BC,Cymru,Sir benfro,"Golosg (derw, pren crwn)",[Heb ei gofnodi],"Twmpath llosg yn cynnwys dau gafn, yn ohonynt yn bren, ac aelwyd.",,N
"Upper Neeston (site 514), Henbrandston",SUERC-54698 (GU-34698),3770BC - 3640BC,Wales,Pembrokeshire,"Charcoal (hazel, nutshell)",[Not recorded],Neolithic curvilinear ditch and an isolated pit as well as more recent archaeology.,,N,,"Neeston Uchaf (safle 514), Henbrandston",SUERC-54698 (GU-34698),3770BC - 3640BC,Cymru,Sir benfro,"Golosg (coll, masgl)",[Heb ei gofnodi],Ffos gyrflinol Neolithig a hwll ynysig yn ogystal ag archaeoleg fwy diweddar.,,N
"Upper Neeston (site 514), Henbrandston",SUERC-54699 (GU-34694),3770BC - 3640BC,Wales,Pembrokeshire,"Charcoal (hazel, nutshell)",[Not recorded],Neolithic curvilinear ditch and an isolated pit as well as more recent archaeology.,,N,,"Neeston Uchaf (safle 514), Henbrandston",SUERC-54699 (GU-34694),3770BC - 3640BC,Cymru,Sir benfro,"Golosg (coll, masgl)",[Heb ei gofnodi],Ffos gyrflinol Neolithig a hwll ynysig yn ogystal ag archaeoleg fwy diweddar.,,N
Uzmaston (site 515),Beta-249355,1260BC - 1000BC,Wales,Pembrokeshire,[Not recorded],[Not recorded],Burnt mound without troughs or hearths.,,N,,Uzmaston (safle 515),Beta-249355,1260BC - 1000BC,Cymru,Sir benfro,[Heb ei gofnodi],[Heb ei gofnodi],Twmpath llosg heb gafnau nac aelwydydd.,,N
Uzmaston (site 515),SUERC-56060,1120BC - 900BC,Wales,Pembrokeshire,Charcoal (hazel),[Not recorded],Burnt mound without troughs or hearths.,,N,,Uzmaston (safle 515),SUERC-56060,1120BC - 900BC,Cymru,Sir benfro,Golosg (coll),[Heb ei gofnodi],Twmpath llosg heb gafnau nac aelwydydd.,,N
Uzmaston (site 515),SUERC-56061,1210BC - 920BC,Wales,Pembrokeshire,Charcoal (alder),[Not recorded],Burnt mound without troughs or hearths.,,N,,Uzmaston (safle 515),SUERC-56061,1210BC - 920BC,Cymru,Sir benfro,Golosg (gwern),[Heb ei gofnodi],Twmpath llosg heb gafnau nac aelwydydd.,,N
Walesland Rath,NPL-244,360BC - AD140,Wales,Pembrokeshire,Charcoal,[Not recorded],64m x 48m sub-circular enclosure situated on a promontory.,,N,,Rath Cymru,NPL-244,360BC - AD140,Cymru,Sir benfro,Golosg,[Heb ei gofnodi],Lloc is-grwn 64m x 48m a leolir ar bentir.,,N
Walesland Rath,NPL-245,400BC - AD30,Wales,Pembrokeshire,Charcoal,[Not recorded],64m x 48m sub-circular enclosure situated on a promontory.,,N,,Rath Cymru,NPL-245,400BC - AD30,Cymru,Sir benfro,Golosg,[Heb ei gofnodi],Lloc is-grwn 64m x 48m a leolir ar bentir.,,N
Waunwelw,SRR-2088,390BC - AD390,Wales,Pembrokeshire,Peat,[Not recorded],"Area of unenclosed wetland heath in open valley (Seymour 1985, 121).",,N,,Waunwelw,SRR-2088,390BC - AD390,Cymru,Sir benfro,Mawn,[Heb ei gofnodi],"Ardal waun gwlyptir anamgeedig mewn dyffryn agored (Seymour 1985, 121).",,N
Waunwelw,SRR-2089,5850BC - 5210BC,Wales,Pembrokeshire,Peat,[Not recorded],"Area of unenclosed wetland heath in open valley (Seymour 1985, 121).",,N,,Waunwelw,SRR-2089,5850BC - 5210BC,Cymru,Sir benfro,Mawn,[Heb ei gofnodi],"Ardal waun gwlyptir anamgeedig mewn dyffryn agored (Seymour 1985, 121).",,N
Waunwelw,SRR-2090,4790BC - 4040BC,Wales,Pembrokeshire,Peat,[Not recorded],"Area of unenclosed wetland heath in open valley (Seymour 1985, 121).",,N,,Waunwelw,SRR-2090,4790BC - 4040BC,Cymru,Sir benfro,Mawn,[Heb ei gofnodi],"Ardal waun gwlyptir anamgeedig mewn dyffryn agored (Seymour 1985, 121).",,N
Waunwelw,SRR-2091,4940BC - 3360BC,Wales,Pembrokeshire,Peat,[Not recorded],"Area of unenclosed wetland heath in open valley (Seymour 1985, 121).",,N,,Waunwelw,SRR-2091,4940BC - 3360BC,Cymru,Sir benfro,Mawn,[Heb ei gofnodi],"Ardal waun gwlyptir anamgeedig mewn dyffryn agored (Seymour 1985, 121).",,N
West Angle Bay,Beta-208267,AD690 - AD970,Wales,Pembrokeshire,"Bone (human, juvenile)",[Not recorded],"Egg-shaped cemetery enclosure set within a larger rectangular enclosure, containing well preserved early medieval remains.",,N,,Bae Ongl y Gorllewin,Beta-208267,AD690 - AD970,Cymru,Sir benfro,"Asgwrn (dynol, ieuangwr)",[Heb ei gofnodi],"Lloc mynwent siâp wy o fewn lloc hirsgwar mwy o faint, yn cynnwys olion canoloesol cynnar wedi eu cadw'n dda.",,N
West Angle Bay,Beta-208268,AD730 - AD990,Wales,Pembrokeshire,Bone (human),[Not recorded],"Egg-shaped cemetery enclosure set within a larger rectangular enclosure, containing well preserved early medieval remains.",,N,,Bae Ongl y Gorllewin,Beta-208268,AD730 - AD990,Cymru,Sir benfro,Asgwrn (dynol),[Heb ei gofnodi],"Lloc mynwent siâp wy o fewn lloc hirsgwar mwy o faint, yn cynnwys olion canoloesol cynnar wedi eu cadw'n dda.",,N
West Angle Bay,Beta-229574,AD540 - AD660,Wales,Pembrokeshire,Charcoal,[Not recorded],"Egg-shaped cemetery enclosure set within a larger rectangular enclosure, containing well preserved early medieval remains.",,N,,Bae Ongl y Gorllewin,Beta-229574,AD540 - AD660,Cymru,Sir benfro,Golosg,[Heb ei gofnodi],"Lloc mynwent siâp wy o fewn lloc hirsgwar mwy o faint, yn cynnwys olion canoloesol cynnar wedi eu cadw'n dda.",,N
West Angle Bay,Beta-229575,AD890 - AD1040,Wales,Pembrokeshire,"Bone (human, adult, female)",[Not recorded],"Egg-shaped cemetery enclosure set within a larger rectangular enclosure, containing well preserved early medieval remains.",,N,,Bae Ongl y Gorllewin,Beta-229575,AD890 - AD1040,Cymru,Sir benfro,"Asgwrn (dynol, oedolyn, benyw)",[Heb ei gofnodi],"Lloc mynwent siâp wy o fewn lloc hirsgwar mwy o faint, yn cynnwys olion canoloesol cynnar wedi eu cadw'n dda.",,N
West Angle Bay,Beta-229576,AD660 - AD880,Wales,Pembrokeshire,Charcoal,[Not recorded],"Egg-shaped cemetery enclosure set within a larger rectangular enclosure, containing well preserved early medieval remains.",,N,,Bae Ongl y Gorllewin,Beta-229576,AD660 - AD880,Cymru,Sir benfro,Golosg,[Heb ei gofnodi],"Lloc mynwent siâp wy o fewn lloc hirsgwar mwy o faint, yn cynnwys olion canoloesol cynnar wedi eu cadw'n dda.",,N
West Angle Bay,Beta-229577,AD650 - AD780,Wales,Pembrokeshire,"Bone (human, adult, ?male)",[Not recorded],"Egg-shaped cemetery enclosure set within a larger rectangular enclosure, containing well preserved early medieval remains.",,N,,Bae Ongl y Gorllewin,Beta-229577,AD650 - AD780,Cymru,Sir benfro,"Asgwrn (bod dynol, oedolyn, ?gwryw)",[Heb ei gofnodi],"Lloc mynwent siâp wy o fewn lloc hirsgwar mwy o faint, yn cynnwys olion canoloesol cynnar wedi eu cadw'n dda.",,N
West Angle Bay,SUERC-32876,AD630 - AD680,Wales,Pembrokeshire,Charcoal (ash),[Not recorded],"Egg-shaped cemetery enclosure set within a larger rectangular enclosure, containing well preserved early medieval remains.",,N,,Bae Ongl y Gorllewin,SUERC-32876,AD630 - AD680,Cymru,Sir benfro,Golosg (onn),[Heb ei gofnodi],"Lloc mynwent siâp wy o fewn lloc hirsgwar mwy o faint, yn cynnwys olion canoloesol cynnar wedi eu cadw'n dda.",,N
West Angle Bay,SUERC-32877,AD630 - AD690,Wales,Pembrokeshire,Charcoal (Prunus),[Not recorded],"Egg-shaped cemetery enclosure set within a larger rectangular enclosure, containing well preserved early medieval remains.",,N,,Bae Ongl y Gorllewin,SUERC-32877,AD630 - AD690,Cymru,Sir benfro,Golosg (Prunus),[Heb ei gofnodi],"Lloc mynwent siâp wy o fewn lloc hirsgwar mwy o faint, yn cynnwys olion canoloesol cynnar wedi eu cadw'n dda.",,N
Westfields (site 272),SUERC-57286,2830BC - 2470BC,Wales,Pembrokeshire,"Charcoal (hazel, nutshell fragments x6)",AMS,Three pits with charcoal-rich fills.,,N,,Westfields (safle 272),SUERC-57286,2830BC - 2470BC,Cymru,Sir benfro,"Golosg (coll, darnau masgl cnau x6)",AMS,Tri phwll â chynnwys cyfoethog o olosg.,,N
Westfields (site 272),SUERC-57287,2860BC - 2490BC,Wales,Pembrokeshire,"Charcoal (hazel, nutshell)",AMS,Three pits with charcoal-rich fills.,,N,,Westfields (safle 272),SUERC-57287,2860BC - 2490BC,Cymru,Sir benfro,"Golosg (coll, masgl)",AMS,Tri phwll â chynnwys cyfoethog o olosg.,,N
Whitesands Bay,CAR-1176,4330BC - 3940BC,Wales,Pembrokeshire,[Not recorded],Radiometric,Palaeoenvironmental study.,,N,,Bae Whitesands,CAR-1176,4330BC - 3940BC,Cymru,Sir benfro,[Heb ei gofnodi],Radiometrig,Astudiaeth baleoamgylcheddol.,,N
Whitesands Bay,CAR-1183,4320BC - 3810BC,Wales,Pembrokeshire,[Not recorded],Radiometric,Palaeoenvironmental study.,,N,,Bae Whitesands,CAR-1183,4320BC - 3810BC,Cymru,Sir benfro,[Heb ei gofnodi],Radiometrig,Astudiaeth baleoamgylcheddol.,,N
Whitland Roman Road,Beta-84187,380BC - AD70,Wales,Pembrokeshire,"Wood (oak, plank)",[Not recorded],Roman road.,,N,,Ffordd Rufeinig Hendy-gwyn ar Daf,Beta-84187,380BC - AD70,Cymru,Sir benfro,"Pren (derw, astell)",[Heb ei gofnodi],Ffordd Rufeinig.,,N
Whitland Roman Road,Beta-84188,350BC - AD130,Wales,Pembrokeshire,[Not recorded],[Not recorded],Roman road.,,N,,Ffordd Rufeinig Hendy-gwyn ar Daf,Beta-84188,350BC - AD130,Cymru,Sir benfro,[Heb ei gofnodi],[Heb ei gofnodi],Ffordd Rufeinig.,,N
Wiston,CAR-1441,AD680 - AD1030,Wales,Pembrokeshire,Charcoal,Radiometric,Castle and borough established before AD 1112.,,N,,Cas-wis,CAR-1441,AD680 - AD1030,Cymru,Sir benfro,Golosg,Radiometrig,Castell a bwrdeistref a sefydlwyd cyn AD 1112.,,N
Woodbarn Rath,CAR-825,360BC - AD30,Wales,Pembrokeshire,Charcoal (branches),Radiometric,Small hillfort.,,N,,Rath Woodbarn,CAR-825,360BC - AD30,Cymru,Sir benfro,Golosg (canghennau),Radiometrig,Bryngaer bach.,,N
Woodbarn Rath,CAR-826,350BC - AD70,Wales,Pembrokeshire,Charcoal,Radiometric,Small hillfort.,,N,,Rath Woodbarn,CAR-826,350BC - AD70,Cymru,Sir benfro,Golosg,Radiometrig,Bryngaer bach.,,N
Woodside Camp,CAR-457,AD0 - AD330,Wales,Pembrokeshire,Charcoal,Radiometric,"D-shaped univallate hillslope enclosure, 32 x 40m across.",,N,,Camp Woodside,CAR-457,AD0 - AD330,Cymru,Sir benfro,Golosg,Radiometrig,"Lloc unclawdd llethr siâp-D, 32 x 40m ar draws.",,N
Woodside Camp,CAR-462,160BC - AD140,Wales,Pembrokeshire,Charcoal,Radiometric,"D-shaped univallate hillslope enclosure, 32 x 40m across.",,N,,Camp Woodside,CAR-462,160BC - AD140,Cymru,Sir benfro,Golosg,Radiometrig,"Lloc unclawdd llethr siâp-D, 32 x 40m ar draws.",,N
Woodside Camp,CAR-673,AD890 - AD1170,Wales,Pembrokeshire,Charcoal,Radiometric,"D-shaped univallate hillslope enclosure, 32 x 40m across.",,N,,Camp Woodside,CAR-673,AD890 - AD1170,Cymru,Sir benfro,Golosg,Radiometrig,"Lloc unclawdd llethr siâp-D, 32 x 40m ar draws.",,N
Woodside Camp,CAR-678,40BC - AD250,Wales,Pembrokeshire,Charcoal,Radiometric,"D-shaped univallate hillslope enclosure, 32 x 40m across.",,N,,Camp Woodside,CAR-678,40BC - AD250,Cymru,Sir benfro,Golosg,Radiometrig,"Lloc unclawdd llethr siâp-D, 32 x 40m ar draws.",,N
Woodside Camp,CAR-679,2010BC - 1620BC,Wales,Pembrokeshire,Charcoal,Radiometric,"D-shaped univallate hillslope enclosure, 32 x 40m across.",,N,,Camp Woodside,CAR-679,2010BC - 1620BC,Cymru,Sir benfro,Golosg,Radiometrig,"Lloc unclawdd llethr siâp-D, 32 x 40m ar draws.",,N
Woodside Camp,CAR-733,160BC - AD230,Wales,Pembrokeshire,Charcoal,Radiometric,"D-shaped univallate hillslope enclosure, 32 x 40m across.",,N,,Camp Woodside,CAR-733,160BC - AD230,Cymru,Sir benfro,Golosg,Radiometrig,"Lloc unclawdd llethr siâp-D, 32 x 40m ar draws.",,N
Woodside Camp,CAR-735,190BC - AD140,Wales,Pembrokeshire,Charcoal,Radiometric,"D-shaped univallate hillslope enclosure, 32 x 40m across.",,N,,Camp Woodside,CAR-735,190BC - AD140,Cymru,Sir benfro,Golosg,Radiometrig,"Lloc unclawdd llethr siâp-D, 32 x 40m ar draws.",,N
Woodside Camp,CAR-760,400BC - 50BC,Wales,Pembrokeshire,Charcoal,Radiometric,"D-shaped univallate hillslope enclosure, 32 x 40m across.",,N,,Camp Woodside,CAR-760,400BC - 50BC,Cymru,Sir benfro,Golosg,Radiometrig,"Lloc unclawdd llethr siâp-D, 32 x 40m ar draws.",,N
"A477 St Clears to Red Roses, site 17",SUERC-50312,AD1050 - AD1270,Wales,Carmarthenshire,"Charcoal (Brome, seed)",AMS,,,N,,"A477 Sancler i Rhos-Goch, safle 17",SUERC-50312,AD1050 - AD1270,Cymru,Sir gaerfyrddin,"Golosg (Banadl, hedyn)",AMS,,,N
"A477 St Clears to Red Roses, site 18",SUERC-50313,AD380 - AD540,Wales,Carmarthenshire,"Charcoal (oak, twig)",AMS,"Scatter of Bronze Age pits, cremations, ?grain drier.",,N,,"A477 Sancler i Rhos-Goch, safle 18",SUERC-50313,AD380 - AD540,Cymru,Sir gaerfyrddin,"Golosg (derw, brigyn)",AMS,"Lledaeniad pyllau Oes Efydd, amlosgiadau, sychydd ?grawn.",,N
"A477 St Clears to Red Roses, site 18",SUERC-50314,1520BC - 1410BC,Wales,Carmarthenshire,Charcoal (alder/hazel),AMS,"Scatter of Bronze Age pits, cremations, ?grain drier.",,N,,"A477 Sancler i Rhos-Goch, safle 18",SUERC-50314,1520BC - 1410BC,Cymru,Sir gaerfyrddin,Golosg (breuwydd/coll),AMS,"Lledaeniad pyllau Oes Efydd, amlosgiadau, sychydd ?grawn.",,N
"A477 St Clears to Red Roses, site 18",SUERC-50315,8540BC - 8300BC,Wales,Carmarthenshire,"Charcoal (hazel, nutshell)",AMS,"Scatter of Bronze Age pits, cremations, ?grain drier.",,N,,"A477 Sancler i Rhos-Goch, safle 18",SUERC-50315,8540BC - 8300BC,Cymru,Sir gaerfyrddin,"Golosg (coll, masgl)",AMS,"Lledaeniad pyllau Oes Efydd, amlosgiadau, sychydd ?grawn.",,N
"A477 St Clears to Red Roses, site 18",SUERC-61223,AD1220 - AD1300,Wales,Carmarthenshire,"Charcoal (barley, grain)",AMS,"Scatter of Bronze Age pits, cremations, ?grain drier.",,N,,"A477 Sancler i Rhos-Goch, safle 18",SUERC-61223,AD1220 - AD1300,Cymru,Sir gaerfyrddin,"Golosg (haidd, grawn)",AMS,"Lledaeniad pyllau Oes Efydd, amlosgiadau, sychydd ?grawn.",,N
"A477 St Clears to Red Roses, site 18",SUERC-61250,AD890 - AD1030,Wales,Carmarthenshire,Charcoal (alder/hazel),AMS,"Scatter of Bronze Age pits, cremations, ?grain drier.",,N,,"A477 Sancler i Rhos-Goch, safle 18",SUERC-61250,AD890 - AD1030,Cymru,Sir gaerfyrddin,Golosg (breuwydd/coll),AMS,"Lledaeniad pyllau Oes Efydd, amlosgiadau, sychydd ?grawn.",,N
"A477 St Clears to Red Roses, site 18",SUERC-61251,AD1050 - AD1270,Wales,Carmarthenshire,Charcoal (alder/hazel),AMS,"Scatter of Bronze Age pits, cremations, ?grain drier.",,N,,"A477 Sancler i Rhos-Goch, safle 18",SUERC-61251,AD1050 - AD1270,Cymru,Sir gaerfyrddin,Golosg (breuwydd/coll),AMS,"Lledaeniad pyllau Oes Efydd, amlosgiadau, sychydd ?grawn.",,N
"A477 St Clears to Red Roses, site 18",SUERC-61252,AD1030 - AD1220,Wales,Carmarthenshire,"Charcoal (oak, twig)",AMS,"Scatter of Bronze Age pits, cremations, ?grain drier.",,N,,"A477 Sancler i Rhos-Goch, safle 18",SUERC-61252,AD1030 - AD1220,Cymru,Sir gaerfyrddin,"Golosg (derw, brigyn)",AMS,"Lledaeniad pyllau Oes Efydd, amlosgiadau, sychydd ?grawn.",,N
"A477 St Clears to Red Roses, site 18",SUERC-61253,AD1050 - AD1270,Wales,Carmarthenshire,Charcoal (hazel),AMS,"Scatter of Bronze Age pits, cremations, ?grain drier.",,N,,"A477 Sancler i Rhos-Goch, safle 18",SUERC-61253,AD1050 - AD1270,Cymru,Sir gaerfyrddin,Golosg (coll),AMS,"Lledaeniad pyllau Oes Efydd, amlosgiadau, sychydd ?grawn.",,N
"A477 St Clears to Red Roses, site 18",SUERC-61254,AD1220 - AD1290,Wales,Carmarthenshire,Charcoal (hawthorn/rowan/crab apple),AMS,"Scatter of Bronze Age pits, cremations, ?grain drier.",,N,,"A477 Sancler i Rhos-Goch, safle 18",SUERC-61254,AD1220 - AD1290,Cymru,Sir gaerfyrddin,Golosg (draenen/cerddinen/pren afalau surion),AMS,"Lledaeniad pyllau Oes Efydd, amlosgiadau, sychydd ?grawn.",,N
"A477 St Clears to Red Roses, site 18",SUERC-61255,1950BC - 1760BC,Wales,Carmarthenshire,Cremated bone (human),AMS,"Scatter of Bronze Age pits, cremations, ?grain drier.",,N,,"A477 Sancler i Rhos-Goch, safle 18",SUERC-61255,1950BC - 1760BC,Cymru,Sir gaerfyrddin,Asgwrn amlosgedig (dynol),AMS,"Lledaeniad pyllau Oes Efydd, amlosgiadau, sychydd ?grawn.",,N
"A477 St Clears to Red Roses, site 19",SUERC-50316,AD1040 - AD1220,Wales,Carmarthenshire,"Charcoal (oat, grain)",AMS,Group of Bronze Age pits.,,N,,"A477 Sancler i Rhos-Goch, safle 19",SUERC-50316,AD1040 - AD1220,Cymru,Sir gaerfyrddin,"Golosg (ceirch, grawn)",AMS,Grŵp o byllau Oes Efydd.,,N
"A477 St Clears to Red Roses, site 19",SUERC-61256,AD1150 - AD1270,Wales,Carmarthenshire,"Charcoal (oat, grain)",AMS,Group of Bronze Age pits.,,N,,"A477 Sancler i Rhos-Goch, safle 19",SUERC-61256,AD1150 - AD1270,Cymru,Sir gaerfyrddin,"Golosg (ceirch, grawn)",AMS,Grŵp o byllau Oes Efydd.,,N
"A477 St Clears to Red Roses, site 25",SUERC-50317,2460BC - 2190BC,Wales,Carmarthenshire,"Charcoal (hazel, nutshell)",AMS,"Neolithic, Beaker and Early Bronze Age pits, postholes and hearths.",,N,,"A477 Sancler i Rhos-Goch, safle 25",SUERC-50317,2460BC - 2190BC,Cymru,Sir gaerfyrddin,"Golosg (coll, masgl)",AMS,"Pyllau, tyllau pyst ac aelwydydd Neolithig, Bicer ac Oes Efydd Gynnar.",,N
"A477 St Clears to Red Roses, site 25",SUERC-61260,5760BC - 5640BC,Wales,Carmarthenshire,Charcoal (hazel),AMS,"Neolithic, Beaker and Early Bronze Age pits, postholes and hearths.",,N,,"A477 Sancler i Rhos-Goch, safle 25",SUERC-61260,5760BC - 5640BC,Cymru,Sir gaerfyrddin,Golosg (coll),AMS,"Pyllau, tyllau pyst ac aelwydydd Neolithig, Bicer ac Oes Efydd Gynnar.",,N
"A477 St Clears to Red Roses, site 25",SUERC-61261,AD770 - AD990,Wales,Carmarthenshire,Charcoal (willow/poplar),AMS,"Neolithic, Beaker and Early Bronze Age pits, postholes and hearths.",,N,,"A477 Sancler i Rhos-Goch, safle 25",SUERC-61261,AD770 - AD990,Cymru,Sir gaerfyrddin,Golosg (helyg/poplys),AMS,"Pyllau, tyllau pyst ac aelwydydd Neolithig, Bicer ac Oes Efydd Gynnar.",,N
"A477 St Clears to Red Roses, site 25",SUERC-61262,1950BC - 1760BC,Wales,Carmarthenshire,Charcoal (hazel),AMS,"Neolithic, Beaker and Early Bronze Age pits, postholes and hearths.",,N,,"A477 Sancler i Rhos-Goch, safle 25",SUERC-61262,1950BC - 1760BC,Cymru,Sir gaerfyrddin,Golosg (coll),AMS,"Pyllau, tyllau pyst ac aelwydydd Neolithig, Bicer ac Oes Efydd Gynnar.",,N
"A477 St Clears to Red Roses, site 26",SUERC-50367,2020BC - 1880BC,Wales,Carmarthenshire,Cremated bone (human),AMS,Bronze Age barrow and pyre site.,,N,,"A477 Sancler i Rhos-Goch, safle 26",SUERC-50367,2020BC - 1880BC,Cymru,Sir gaerfyrddin,Asgwrn amlosgedig (dynol),AMS,Safle beddrod a choelcerth Oes Efydd.,,N
