Vejnavn,Tællested,År,Hast.begr.,Gns. hast.
,,,km/t,km/t
HASLEVEJ,s.f. Jørnhøjvej,2008,50,46
HASLEGÅRDSVEJ,n.f. Østervej,2007,50,37
HASLEVANGSVEJ,n.f. Østrevej,2007,50,37
HAUGESUNDSVEJ,v.f. Frederikshaldsgade,2009,50,29
HAURUMSVEJ,nø.f. Langkærvej,2005,50,33
HAURUMSVEJ,n.f. Supermarked,2005,50,39
HAVKÆRVEJ,n.f. Ertebjerg,2009,50,53
HEDESKOVVEJ,n.f. Lyngbakken,2009,50,45
HEDEVEJ,nv.f. Engblommevej,2005,50,43
HELENELYST,s.f. indkørsel til nr. 5-67,2011,50,46
HENRIK HERTZ VEJ,sø.f. Silkeborgvej,2012,50,41
HERREDSVEJ,"s.f. Randersvej, sv.f. rundkørsel",2013,60,62
HERREDSVEJ,s.f. Marienlystvej,2010,50,41
HESTEHAVEN,sv. f. Oddervej,2004,50,31
HJULBJERGVEJ,ø.f. Holme Byvej,2003,50,47
HJULBJERGVEJ,ø.f. Kvædevej,2012,50,53
HOLME PARKVEJ,s.f. Ringvej Syd,2008,50,39
HOLMETOFTEN,ml. Bushøjvej og Provsteparken,2007,50,44
HOLMEVEJ,n.ø. f. Mølleskovvej,2005,50,50
HOLMSTRUPGÅRDVEJ,n.f. Egebakkeskolens indkørsel,2004,60,65
HOVEDVEJEN,v.f. Kolt Kirkevej,2013,70,68
HOVEDVEJEN,sv.f. Torshøjvej,2013,80,70
HOVEDVEJEN,sv.f. Beringvej,2002,70,72
HOVMUREN,n.f. Kjeldsbjergvej,2004,50,51
HOVVEJEN,udfor nr. 13,2006,80,73
HVEENSGADE,sø.f. Sverigesgade,2006,50,26
HVIDBJERGVEJ,udfor nr. 17 (Ølsted),2011,50,26
HØEGH-GULDBERGS GADE,nv.f. Sølystgade,2012,50,26
HØGEMOSEVEJ,s.f. Høgemosevænget,2007,80,62
HØJSKOLEVEJ,n.f. Viborgvej,2012,50,38
HØRGÅRDSVEJ,s.f. Solsikkevej,2013,50,49
HØRHAVEVEJ,v.f. Hermelinvej,2011,50,45
HØRHAVEVEJ,v.f. Elsdyrvej,2005,50,44
HØRHAVEVEJ,nv.f. Dalvangen,2005,50,52
HØRHAVEVEJ,nø.f. Grumstolsvej,2005,50,48
HØRMARKSVEJ,nv.f. Nordre Strandvej,2011,50,32
